model,num_tasks_seen,task,metric_type,accuracy
silu_0.2_ours_sgd,1,0,Class-IL,94.55
silu_0.2_ours_sgd,1,0,Task-IL,94.55
silu_0.2_ours_sgd,1,avg,Class-IL,94.55
silu_0.2_ours_sgd,1,avg,Task-IL,94.55
silu_0.2_ours_sgd,2,0,Class-IL,0.0
silu_0.2_ours_sgd,2,0,Task-IL,78.3
silu_0.2_ours_sgd,2,1,Class-IL,83.35000000000001
silu_0.2_ours_sgd,2,1,Task-IL,83.35000000000001
silu_0.2_ours_sgd,2,avg,Class-IL,41.68
silu_0.2_ours_sgd,2,avg,Task-IL,80.82
silu_0.2_ours_sgd,3,0,Class-IL,0.0
silu_0.2_ours_sgd,3,0,Task-IL,62.3
silu_0.2_ours_sgd,3,1,Class-IL,0.0
silu_0.2_ours_sgd,3,1,Task-IL,65.5
silu_0.2_ours_sgd,3,2,Class-IL,89.75
silu_0.2_ours_sgd,3,2,Task-IL,89.75
silu_0.2_ours_sgd,3,avg,Class-IL,29.92
silu_0.2_ours_sgd,3,avg,Task-IL,72.52
silu_0.2_ours_sgd,4,0,Class-IL,0.0
silu_0.2_ours_sgd,4,0,Task-IL,63.74999999999999
silu_0.2_ours_sgd,4,1,Class-IL,0.0
silu_0.2_ours_sgd,4,1,Task-IL,69.6
silu_0.2_ours_sgd,4,2,Class-IL,0.0
silu_0.2_ours_sgd,4,2,Task-IL,68.4
silu_0.2_ours_sgd,4,3,Class-IL,97.75
silu_0.2_ours_sgd,4,3,Task-IL,97.75
silu_0.2_ours_sgd,4,avg,Class-IL,24.44
silu_0.2_ours_sgd,4,avg,Task-IL,74.88
silu_0.2_ours_sgd,5,0,Class-IL,0.0
silu_0.2_ours_sgd,5,0,Task-IL,65.5
silu_0.2_ours_sgd,5,1,Class-IL,0.0
silu_0.2_ours_sgd,5,1,Task-IL,58.650000000000006
silu_0.2_ours_sgd,5,2,Class-IL,0.0
silu_0.2_ours_sgd,5,2,Task-IL,70.0
silu_0.2_ours_sgd,5,3,Class-IL,0.0
silu_0.2_ours_sgd,5,3,Task-IL,81.0
silu_0.2_ours_sgd,5,4,Class-IL,93.5
silu_0.2_ours_sgd,5,4,Task-IL,93.5
silu_0.2_ours_sgd,5,avg,Class-IL,18.7
silu_0.2_ours_sgd,5,avg,Task-IL,73.73
silu_0.2_ghada_adam,1,0,Class-IL,90.95
silu_0.2_ghada_adam,1,0,Task-IL,90.95
silu_0.2_ghada_adam,1,avg,Class-IL,90.95
silu_0.2_ghada_adam,1,avg,Task-IL,90.95
silu_0.2_ghada_adam,2,0,Class-IL,0.0
silu_0.2_ghada_adam,2,0,Task-IL,48.3
silu_0.2_ghada_adam,2,1,Class-IL,81.65
silu_0.2_ghada_adam,2,1,Task-IL,81.65
silu_0.2_ghada_adam,2,avg,Class-IL,40.83
silu_0.2_ghada_adam,2,avg,Task-IL,64.97
silu_0.2_ghada_adam,3,0,Class-IL,0.0
silu_0.2_ghada_adam,3,0,Task-IL,38.3
silu_0.2_ghada_adam,3,1,Class-IL,0.0
silu_0.2_ghada_adam,3,1,Task-IL,50.3
silu_0.2_ghada_adam,3,2,Class-IL,91.14999999999999
silu_0.2_ghada_adam,3,2,Task-IL,91.14999999999999
silu_0.2_ghada_adam,3,avg,Class-IL,30.38
silu_0.2_ghada_adam,3,avg,Task-IL,59.92
silu_0.2_ghada_adam,4,0,Class-IL,0.0
silu_0.2_ghada_adam,4,0,Task-IL,51.65
silu_0.2_ghada_adam,4,1,Class-IL,9.700000000000001
silu_0.2_ghada_adam,4,1,Task-IL,49.95
silu_0.2_ghada_adam,4,2,Class-IL,7.1499999999999995
silu_0.2_ghada_adam,4,2,Task-IL,54.6
silu_0.2_ghada_adam,4,3,Class-IL,31.1
silu_0.2_ghada_adam,4,3,Task-IL,88.94999999999999
silu_0.2_ghada_adam,4,avg,Class-IL,11.99
silu_0.2_ghada_adam,4,avg,Task-IL,61.29
silu_0.2_ghada_adam,5,0,Class-IL,0.0
silu_0.2_ghada_adam,5,0,Task-IL,50.24999999999999
silu_0.2_ghada_adam,5,1,Class-IL,0.0
silu_0.2_ghada_adam,5,1,Task-IL,50.0
silu_0.2_ghada_adam,5,2,Class-IL,0.0
silu_0.2_ghada_adam,5,2,Task-IL,51.1
silu_0.2_ghada_adam,5,3,Class-IL,0.0
silu_0.2_ghada_adam,5,3,Task-IL,49.45
silu_0.2_ghada_adam,5,4,Class-IL,94.69999999999999
silu_0.2_ghada_adam,5,4,Task-IL,94.69999999999999
silu_0.2_ghada_adam,5,avg,Class-IL,18.94
silu_0.2_ghada_adam,5,avg,Task-IL,59.1
leaky_relu_0.2_ghada_sgd,1,0,Class-IL,89.1
leaky_relu_0.2_ghada_sgd,1,0,Task-IL,89.1
leaky_relu_0.2_ghada_sgd,1,avg,Class-IL,89.1
leaky_relu_0.2_ghada_sgd,1,avg,Task-IL,89.1
leaky_relu_0.2_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,2,0,Task-IL,70.35
leaky_relu_0.2_ghada_sgd,2,1,Class-IL,73.35000000000001
