task,layer,inactive_count,epoch,model
3,conv1,1,3,relu_0.1_method2_sgd
3,layer1,1,3,relu_0.1_method2_sgd
3,layer2,1,3,relu_0.1_method2_sgd
3,layer3,7,3,relu_0.1_method2_sgd
3,layer4,115,3,relu_0.1_method2_sgd
3,conv1,1,4,relu_0.1_method2_sgd
3,layer1,1,4,relu_0.1_method2_sgd
3,layer2,1,4,relu_0.1_method2_sgd
3,layer3,9,4,relu_0.1_method2_sgd
3,layer4,126,4,relu_0.1_method2_sgd
3,conv1,1,5,relu_0.1_method2_sgd
3,layer1,1,5,relu_0.1_method2_sgd
3,layer2,1,5,relu_0.1_method2_sgd
3,layer3,7,5,relu_0.1_method2_sgd
3,layer4,111,5,relu_0.1_method2_sgd
3,conv1,1,6,relu_0.1_method2_sgd
3,layer1,1,6,relu_0.1_method2_sgd
3,layer2,1,6,relu_0.1_method2_sgd
3,layer3,13,6,relu_0.1_method2_sgd
3,layer4,109,6,relu_0.1_method2_sgd
3,conv1,1,7,relu_0.1_method2_sgd
3,layer1,1,7,relu_0.1_method2_sgd
3,layer2,1,7,relu_0.1_method2_sgd
3,layer3,15,7,relu_0.1_method2_sgd
3,layer4,117,7,relu_0.1_method2_sgd
3,conv1,1,8,relu_0.1_method2_sgd
3,layer1,1,8,relu_0.1_method2_sgd
3,layer2,1,8,relu_0.1_method2_sgd
3,layer3,12,8,relu_0.1_method2_sgd
3,layer4,77,8,relu_0.1_method2_sgd
3,conv1,1,9,relu_0.1_method2_sgd
3,layer1,1,9,relu_0.1_method2_sgd
3,layer2,1,9,relu_0.1_method2_sgd
3,layer3,8,9,relu_0.1_method2_sgd
3,layer4,82,9,relu_0.1_method2_sgd
4,conv1,2,0,relu_0.1_method2_sgd
4,layer1,2,0,relu_0.1_method2_sgd
4,layer2,7,0,relu_0.1_method2_sgd
4,layer3,8,0,relu_0.1_method2_sgd
4,layer4,85,0,relu_0.1_method2_sgd
4,conv1,2,1,relu_0.1_method2_sgd
4,layer1,2,1,relu_0.1_method2_sgd
4,layer2,5,1,relu_0.1_method2_sgd
4,layer3,10,1,relu_0.1_method2_sgd
4,layer4,55,1,relu_0.1_method2_sgd
4,conv1,2,2,relu_0.1_method2_sgd
4,layer1,2,2,relu_0.1_method2_sgd
4,layer2,2,2,relu_0.1_method2_sgd
4,layer3,4,2,relu_0.1_method2_sgd
4,layer4,93,2,relu_0.1_method2_sgd
4,conv1,2,3,relu_0.1_method2_sgd
4,layer1,8,3,relu_0.1_method2_sgd
4,layer2,6,3,relu_0.1_method2_sgd
4,layer3,6,3,relu_0.1_method2_sgd
4,layer4,105,3,relu_0.1_method2_sgd
4,conv1,2,4,relu_0.1_method2_sgd
4,layer1,2,4,relu_0.1_method2_sgd
4,layer2,8,4,relu_0.1_method2_sgd
4,layer3,7,4,relu_0.1_method2_sgd
4,layer4,54,4,relu_0.1_method2_sgd
4,conv1,2,5,relu_0.1_method2_sgd
4,layer1,3,5,relu_0.1_method2_sgd
4,layer2,4,5,relu_0.1_method2_sgd
4,layer3,2,5,relu_0.1_method2_sgd
4,layer4,83,5,relu_0.1_method2_sgd
4,conv1,2,6,relu_0.1_method2_sgd
4,layer1,5,6,relu_0.1_method2_sgd
4,layer2,3,6,relu_0.1_method2_sgd
4,layer3,8,6,relu_0.1_method2_sgd
4,layer4,92,6,relu_0.1_method2_sgd
4,conv1,2,7,relu_0.1_method2_sgd
4,layer1,2,7,relu_0.1_method2_sgd
4,layer2,3,7,relu_0.1_method2_sgd
4,layer3,5,7,relu_0.1_method2_sgd
4,layer4,54,7,relu_0.1_method2_sgd
4,conv1,2,8,relu_0.1_method2_sgd
4,layer1,4,8,relu_0.1_method2_sgd
4,layer2,1,8,relu_0.1_method2_sgd
4,layer3,4,8,relu_0.1_method2_sgd
4,layer4,66,8,relu_0.1_method2_sgd
4,conv1,2,9,relu_0.1_method2_sgd
4,layer1,4,9,relu_0.1_method2_sgd
4,layer2,3,9,relu_0.1_method2_sgd
4,layer3,8,9,relu_0.1_method2_sgd
4,layer4,72,9,relu_0.1_method2_sgd
5,conv1,2,0,relu_0.1_method2_sgd
5,layer1,1,0,relu_0.1_method2_sgd
5,layer2,3,0,relu_0.1_method2_sgd
5,layer3,9,0,relu_0.1_method2_sgd
5,layer4,134,0,relu_0.1_method2_sgd
5,conv1,2,1,relu_0.1_method2_sgd
