task,layer,inactive_count,epoch,model
3,conv1,6,3,relu_0.2_method2_sgd
3,layer1,0,3,relu_0.2_method2_sgd
3,layer2,0,3,relu_0.2_method2_sgd
3,layer3,0,3,relu_0.2_method2_sgd
3,layer4,60,3,relu_0.2_method2_sgd
3,conv1,7,4,relu_0.2_method2_sgd
3,layer1,0,4,relu_0.2_method2_sgd
3,layer2,0,4,relu_0.2_method2_sgd
3,layer3,0,4,relu_0.2_method2_sgd
3,layer4,6,4,relu_0.2_method2_sgd
3,conv1,6,5,relu_0.2_method2_sgd
3,layer1,0,5,relu_0.2_method2_sgd
3,layer2,0,5,relu_0.2_method2_sgd
3,layer3,0,5,relu_0.2_method2_sgd
3,layer4,55,5,relu_0.2_method2_sgd
3,conv1,6,6,relu_0.2_method2_sgd
3,layer1,0,6,relu_0.2_method2_sgd
3,layer2,0,6,relu_0.2_method2_sgd
3,layer3,0,6,relu_0.2_method2_sgd
3,layer4,89,6,relu_0.2_method2_sgd
3,conv1,5,7,relu_0.2_method2_sgd
3,layer1,0,7,relu_0.2_method2_sgd
3,layer2,0,7,relu_0.2_method2_sgd
3,layer3,0,7,relu_0.2_method2_sgd
3,layer4,2,7,relu_0.2_method2_sgd
3,conv1,7,8,relu_0.2_method2_sgd
3,layer1,0,8,relu_0.2_method2_sgd
3,layer2,0,8,relu_0.2_method2_sgd
3,layer3,0,8,relu_0.2_method2_sgd
3,layer4,2,8,relu_0.2_method2_sgd
3,conv1,8,9,relu_0.2_method2_sgd
3,layer1,0,9,relu_0.2_method2_sgd
3,layer2,0,9,relu_0.2_method2_sgd
3,layer3,0,9,relu_0.2_method2_sgd
3,layer4,8,9,relu_0.2_method2_sgd
4,conv1,4,0,relu_0.2_method2_sgd
4,layer1,0,0,relu_0.2_method2_sgd
4,layer2,0,0,relu_0.2_method2_sgd
4,layer3,0,0,relu_0.2_method2_sgd
4,layer4,160,0,relu_0.2_method2_sgd
4,conv1,4,1,relu_0.2_method2_sgd
4,layer1,0,1,relu_0.2_method2_sgd
4,layer2,0,1,relu_0.2_method2_sgd
4,layer3,0,1,relu_0.2_method2_sgd
4,layer4,80,1,relu_0.2_method2_sgd
4,conv1,4,2,relu_0.2_method2_sgd
4,layer1,0,2,relu_0.2_method2_sgd
4,layer2,0,2,relu_0.2_method2_sgd
4,layer3,0,2,relu_0.2_method2_sgd
4,layer4,56,2,relu_0.2_method2_sgd
4,conv1,4,3,relu_0.2_method2_sgd
4,layer1,0,3,relu_0.2_method2_sgd
4,layer2,0,3,relu_0.2_method2_sgd
4,layer3,0,3,relu_0.2_method2_sgd
4,layer4,47,3,relu_0.2_method2_sgd
4,conv1,5,4,relu_0.2_method2_sgd
4,layer1,0,4,relu_0.2_method2_sgd
4,layer2,0,4,relu_0.2_method2_sgd
4,layer3,0,4,relu_0.2_method2_sgd
4,layer4,26,4,relu_0.2_method2_sgd
4,conv1,5,5,relu_0.2_method2_sgd
4,layer1,0,5,relu_0.2_method2_sgd
4,layer2,0,5,relu_0.2_method2_sgd
4,layer3,0,5,relu_0.2_method2_sgd
4,layer4,75,5,relu_0.2_method2_sgd
4,conv1,5,6,relu_0.2_method2_sgd
4,layer1,0,6,relu_0.2_method2_sgd
4,layer2,0,6,relu_0.2_method2_sgd
4,layer3,0,6,relu_0.2_method2_sgd
4,layer4,2,6,relu_0.2_method2_sgd
4,conv1,5,7,relu_0.2_method2_sgd
4,layer1,0,7,relu_0.2_method2_sgd
4,layer2,0,7,relu_0.2_method2_sgd
4,layer3,0,7,relu_0.2_method2_sgd
4,layer4,61,7,relu_0.2_method2_sgd
4,conv1,5,8,relu_0.2_method2_sgd
4,layer1,0,8,relu_0.2_method2_sgd
4,layer2,0,8,relu_0.2_method2_sgd
4,layer3,0,8,relu_0.2_method2_sgd
4,layer4,47,8,relu_0.2_method2_sgd
4,conv1,5,9,relu_0.2_method2_sgd
4,layer1,0,9,relu_0.2_method2_sgd
4,layer2,0,9,relu_0.2_method2_sgd
4,layer3,0,9,relu_0.2_method2_sgd
4,layer4,7,9,relu_0.2_method2_sgd
5,conv1,1,0,relu_0.2_method2_sgd
5,layer1,0,0,relu_0.2_method2_sgd
5,layer2,0,0,relu_0.2_method2_sgd
5,layer3,0,0,relu_0.2_method2_sgd
5,layer4,54,0,relu_0.2_method2_sgd
5,conv1,1,1,relu_0.2_method2_sgd
5,layer1,0,1,relu_0.2_method2_sgd
5,layer2,0,1,relu_0.2_method2_sgd
5,layer3,0,1,relu_0.2_method2_sgd
5,layer4,93,1,relu_0.2_method2_sgd
5,conv1,1,2,relu_0.2_method2_sgd
5,layer1,0,2,relu_0.2_method2_sgd
5,layer2,0,2,relu_0.2_method2_sgd
5,layer3,0,2,relu_0.2_method2_sgd
5,layer4,49,2,relu_0.2_method2_sgd
5,conv1,1,3,relu_0.2_method2_sgd
5,layer1,0,3,relu_0.2_method2_sgd
5,layer2,0,3,relu_0.2_method2_sgd
5,layer3,0,3,relu_0.2_method2_sgd
5,layer4,47,3,relu_0.2_method2_sgd
5,conv1,1,4,relu_0.2_method2_sgd
5,layer1,0,4,relu_0.2_method2_sgd
5,layer2,0,4,relu_0.2_method2_sgd
5,layer3,0,4,relu_0.2_method2_sgd
5,layer4,14,4,relu_0.2_method2_sgd
5,conv1,1,5,relu_0.2_method2_sgd
5,layer1,0,5,relu_0.2_method2_sgd
5,layer2,0,5,relu_0.2_method2_sgd
5,layer3,0,5,relu_0.2_method2_sgd
5,layer4,12,5,relu_0.2_method2_sgd
5,conv1,1,6,relu_0.2_method2_sgd
5,layer1,0,6,relu_0.2_method2_sgd
5,layer2,0,6,relu_0.2_method2_sgd
5,layer3,0,6,relu_0.2_method2_sgd
5,layer4,53,6,relu_0.2_method2_sgd
5,conv1,2,7,relu_0.2_method2_sgd
5,layer1,0,7,relu_0.2_method2_sgd
5,layer2,0,7,relu_0.2_method2_sgd
5,layer3,0,7,relu_0.2_method2_sgd
5,layer4,18,7,relu_0.2_method2_sgd
5,conv1,2,8,relu_0.2_method2_sgd
5,layer1,0,8,relu_0.2_method2_sgd
5,layer2,0,8,relu_0.2_method2_sgd
5,layer3,0,8,relu_0.2_method2_sgd
5,layer4,7,8,relu_0.2_method2_sgd
5,conv1,2,9,relu_0.2_method2_sgd
5,layer1,0,9,relu_0.2_method2_sgd
5,layer2,0,9,relu_0.2_method2_sgd
5,layer3,0,9,relu_0.2_method2_sgd
5,layer4,51,9,relu_0.2_method2_sgd
1,conv1,1,0,relu_0.3_method1_adam
1,layer1,0,0,relu_0.3_method1_adam
1,layer2,0,0,relu_0.3_method1_adam
1,layer3,0,0,relu_0.3_method1_adam
1,layer4,0,0,relu_0.3_method1_adam
1,conv1,0,1,relu_0.3_method1_adam
1,layer1,0,1,relu_0.3_method1_adam
1,layer2,0,1,relu_0.3_method1_adam
1,layer3,0,1,relu_0.3_method1_adam
1,layer4,0,1,relu_0.3_method1_adam
1,conv1,2,2,relu_0.3_method1_adam
1,layer1,0,2,relu_0.3_method1_adam
1,layer2,0,2,relu_0.3_method1_adam
1,layer3,0,2,relu_0.3_method1_adam
1,layer4,2,2,relu_0.3_method1_adam
1,conv1,3,3,relu_0.3_method1_adam
1,layer1,0,3,relu_0.3_method1_adam
1,layer2,0,3,relu_0.3_method1_adam
1,layer3,0,3,relu_0.3_method1_adam
1,layer4,3,3,relu_0.3_method1_adam
1,conv1,4,4,relu_0.3_method1_adam
1,layer1,0,4,relu_0.3_method1_adam
1,layer2,0,4,relu_0.3_method1_adam
1,layer3,0,4,relu_0.3_method1_adam
1,layer4,2,4,relu_0.3_method1_adam
1,conv1,13,5,relu_0.3_method1_adam
1,layer1,0,5,relu_0.3_method1_adam
1,layer2,0,5,relu_0.3_method1_adam
1,layer3,0,5,relu_0.3_method1_adam
1,layer4,3,5,relu_0.3_method1_adam
1,conv1,20,6,relu_0.3_method1_adam
1,layer1,0,6,relu_0.3_method1_adam
1,layer2,0,6,relu_0.3_method1_adam
1,layer3,0,6,relu_0.3_method1_adam
1,layer4,0,6,relu_0.3_method1_adam
1,conv1,20,7,relu_0.3_method1_adam
1,layer1,0,7,relu_0.3_method1_adam
1,layer2,0,7,relu_0.3_method1_adam
1,layer3,0,7,relu_0.3_method1_adam
1,layer4,1,7,relu_0.3_method1_adam
1,conv1,22,8,relu_0.3_method1_adam
1,layer1,0,8,relu_0.3_method1_adam
1,layer2,0,8,relu_0.3_method1_adam
1,layer3,0,8,relu_0.3_method1_adam
1,layer4,0,8,relu_0.3_method1_adam
1,conv1,21,9,relu_0.3_method1_adam
1,layer1,0,9,relu_0.3_method1_adam
1,layer2,0,9,relu_0.3_method1_adam
1,layer3,0,9,relu_0.3_method1_adam
1,layer4,0,9,relu_0.3_method1_adam
2,conv1,32,0,relu_0.3_method1_adam
2,layer1,0,0,relu_0.3_method1_adam
2,layer2,0,0,relu_0.3_method1_adam
2,layer3,0,0,relu_0.3_method1_adam
2,layer4,0,0,relu_0.3_method1_adam
2,conv1,32,1,relu_0.3_method1_adam
2,layer1,0,1,relu_0.3_method1_adam
2,layer2,0,1,relu_0.3_method1_adam
2,layer3,0,1,relu_0.3_method1_adam
2,layer4,0,1,relu_0.3_method1_adam
2,conv1,33,2,relu_0.3_method1_adam
2,layer1,0,2,relu_0.3_method1_adam
2,layer2,0,2,relu_0.3_method1_adam
2,layer3,0,2,relu_0.3_method1_adam
2,layer4,0,2,relu_0.3_method1_adam
2,conv1,32,3,relu_0.3_method1_adam
2,layer1,0,3,relu_0.3_method1_adam
2,layer2,0,3,relu_0.3_method1_adam
2,layer3,0,3,relu_0.3_method1_adam
2,layer4,0,3,relu_0.3_method1_adam
2,conv1,35,4,relu_0.3_method1_adam
2,layer1,0,4,relu_0.3_method1_adam
2,layer2,0,4,relu_0.3_method1_adam
2,layer3,0,4,relu_0.3_method1_adam
2,layer4,0,4,relu_0.3_method1_adam
2,conv1,32,5,relu_0.3_method1_adam
