model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,152.0,285.0,374.0
relu_0.1_method1_sgd,0.0,0.0,0.0,1.0,8.0
relu_0.1_method2_adam,0.0,1.0,152.0,285.0,374.0
relu_0.1_method2_sgd,0.0,0.0,0.0,1.0,6.0
relu_0.2_method1_adam,0.0,25.0,260.0,347.0,372.0
relu_0.2_method1_sgd,0.0,333.0,238.0,238.0,256.0
relu_0.2_method2_adam,0.0,25.0,255.0,346.0,393.0
relu_0.2_method2_sgd,0.0,333.0,238.0,238.0,286.0
relu_0.3_method1_adam,7.0,128.0,337.0,392.0,390.0
relu_0.3_method1_sgd,350.0,396.0,412.0,325.0,338.0
relu_0.3_method2_adam,7.0,127.0,375.0,359.0,382.0
relu_0.3_method2_sgd,350.0,339.0,413.0,382.0,336.0
