model,1,2,3,4,5
relu_0.1_method1_adam,0.0,0.0,166.0,330.0,401.0
relu_0.1_method1_sgd,0.0,0.0,4.0,9.0,27.0
relu_0.1_method2_adam,0.0,0.0,166.0,292.0,383.0
relu_0.1_method2_sgd,0.0,0.0,4.0,9.0,27.0
relu_0.2_method1_adam,0.0,12.0,280.0,387.0,388.0
relu_0.2_method1_sgd,20.0,45.0,0.0,3.0,47.0
relu_0.2_method2_adam,0.0,12.0,287.0,355.0,395.0
relu_0.2_method2_sgd,20.0,45.0,11.0,55.0,168.0
relu_0.3_method1_adam,2.0,139.0,291.0,359.0,390.0
relu_0.3_method1_sgd,391.0,453.0,103.0,307.0,372.0
relu_0.3_method2_adam,2.0,109.0,323.0,360.0,379.0
relu_0.3_method2_sgd,391.0,451.0,400.0,394.0,367.0
