model,1,2,3,4,5
relu_0.025_method2_adam,3.0,2.0,4.0,28.0,267.0
relu_0.025_method2_sgd,6.0,9.0,7.0,1.0,4.0
relu_0.05_method2_adam,4.0,11.0,25.0,170.0,328.0
relu_0.05_method2_sgd,19.0,15.0,9.0,18.0,70.0
relu_0.1_method2_adam,16.0,64.0,155.0,326.0,347.0
relu_0.1_method2_sgd,88.0,45.0,116.0,93.0,115.0
