model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.65,43.03,31.33,24.61,19.33,43.19
relu_0.1_ghada_adam,98.45,44.22,31.37,24.48,18.88,43.48
relu_0.1_ghada_sgd,97.65,43.03,31.37,24.44,19.42,43.18
relu_0.1_ours_adam,98.45,44.22,31.37,24.48,18.88,43.48
relu_0.1_ours_sgd,97.65,43.03,31.37,24.44,18.93,43.08
relu_0.2_ghada_adam,98.45,44.22,31.43,24.51,19.43,43.61
relu_0.2_ghada_sgd,97.65,42.6,31.52,24.59,19.2,43.11
relu_0.2_ours_adam,98.45,44.22,31.43,24.4,19.08,43.52
relu_0.2_ours_sgd,97.65,43.3,31.37,24.55,19.46,43.27
relu_0.3_ghada_adam,98.45,43.45,31.35,24.05,19.49,43.36
relu_0.3_ghada_sgd,97.65,42.55,31.2,24.61,19.34,43.07
relu_0.3_ours_adam,98.45,43.95,31.77,24.39,18.84,43.48
relu_0.3_ours_sgd,97.65,43.18,31.2,24.5,19.42,43.19
