model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,0.0,0.0,52.0,85.0
relu_0.1_ghada_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.1_ours_adam,0.0,0.0,0.0,52.0,85.0
relu_0.1_ours_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.2_ghada_adam,0.0,0.0,20.0,60.0,93.0
relu_0.2_ghada_sgd,0.0,0.0,7.0,2.0,3.0
relu_0.2_ours_adam,0.0,0.0,20.0,60.0,99.0
relu_0.2_ours_sgd,0.0,0.0,7.0,1.0,2.0
relu_0.3_ghada_adam,0.0,5.0,53.0,93.0,109.0
relu_0.3_ghada_sgd,0.0,10.0,41.0,28.0,28.0
relu_0.3_ours_adam,0.0,5.0,39.0,93.0,112.0
relu_0.3_ours_sgd,0.0,10.0,44.0,32.0,29.0
