model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.55,42.9,31.35,24.52,16.81,42.63
relu_0.1_ghada_adam,97.8,44.72,31.22,24.26,19.14,43.43
relu_0.1_ghada_sgd,97.55,42.9,31.35,24.56,17.87,42.85
relu_0.1_ours_adam,97.8,44.72,31.22,24.26,19.14,43.43
relu_0.1_ours_sgd,97.55,42.9,31.35,24.5,18.78,43.02
relu_0.2_ghada_adam,97.8,45.22,31.15,24.44,19.32,43.59
relu_0.2_ghada_sgd,97.55,41.62,30.68,24.52,19.09,42.69
relu_0.2_ours_adam,97.8,45.22,30.92,24.16,19.28,43.48
relu_0.2_ours_sgd,97.55,42.98,31.37,24.51,18.72,43.03
relu_0.3_ghada_adam,97.8,44.95,30.85,24.5,19.49,43.52
relu_0.3_ghada_sgd,97.55,43.03,30.97,24.19,18.94,42.94
relu_0.3_ours_adam,97.8,44.7,31.17,24.46,19.4,43.51
relu_0.3_ours_sgd,97.55,43.3,30.55,24.56,19.34,43.06
