model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.025_method2_adam,98.0,43.78,31.32,24.22,19.18,43.3
relu_0.025_method2_sgd,97.1,42.48,30.65,24.51,19.3,42.81
relu_0.05_method2_adam,98.0,44.4,31.35,24.19,19.18,43.42
relu_0.05_method2_sgd,97.1,42.68,30.6,24.45,19.29,42.82
relu_0.1_method2_adam,98.0,44.15,31.4,24.14,19.23,43.38
relu_0.1_method2_sgd,97.1,40.05,30.52,24.44,18.95,42.21
