model,num_tasks_seen,task,metric_type,accuracy
relu_0.3_ours_adam,1,0,Class-IL,91.9
relu_0.3_ours_adam,1,0,Task-IL,91.9
relu_0.3_ours_adam,1,avg,Class-IL,91.9
relu_0.3_ours_adam,1,avg,Task-IL,91.9
relu_0.3_ours_adam,2,0,Class-IL,0.0
relu_0.3_ours_adam,2,0,Task-IL,34.699999999999996
relu_0.3_ours_adam,2,1,Class-IL,74.65
relu_0.3_ours_adam,2,1,Task-IL,74.65
relu_0.3_ours_adam,2,avg,Class-IL,37.33
relu_0.3_ours_adam,2,avg,Task-IL,54.68
relu_0.3_ours_adam,3,0,Class-IL,0.0
relu_0.3_ours_adam,3,0,Task-IL,39.2
relu_0.3_ours_adam,3,1,Class-IL,0.8999999999999999
relu_0.3_ours_adam,3,1,Task-IL,34.2
relu_0.3_ours_adam,3,2,Class-IL,90.4
relu_0.3_ours_adam,3,2,Task-IL,90.7
relu_0.3_ours_adam,3,avg,Class-IL,30.43
relu_0.3_ours_adam,3,avg,Task-IL,54.7
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,52.0
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,50.0
relu_0.3_ours_adam,4,2,Class-IL,0.15
relu_0.3_ours_adam,4,2,Task-IL,52.1
relu_0.3_ours_adam,4,3,Class-IL,72.1
relu_0.3_ours_adam,4,3,Task-IL,72.35000000000001
relu_0.3_ours_adam,4,avg,Class-IL,18.06
relu_0.3_ours_adam,4,avg,Task-IL,56.61
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,58.599999999999994
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,44.05
relu_0.3_ours_adam,5,2,Class-IL,0.0
relu_0.3_ours_adam,5,2,Task-IL,50.3
relu_0.3_ours_adam,5,3,Class-IL,0.0
relu_0.3_ours_adam,5,3,Task-IL,47.699999999999996
relu_0.3_ours_adam,5,4,Class-IL,93.89999999999999
relu_0.3_ours_adam,5,4,Task-IL,93.89999999999999
relu_0.3_ours_adam,5,avg,Class-IL,18.78
relu_0.3_ours_adam,5,avg,Task-IL,58.91
leaky_relu_0.3_ours_adam,1,0,Class-IL,93.2
leaky_relu_0.3_ours_adam,1,0,Task-IL,93.2
leaky_relu_0.3_ours_adam,1,avg,Class-IL,93.2
leaky_relu_0.3_ours_adam,1,avg,Task-IL,93.2
leaky_relu_0.3_ours_adam,2,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,2,0,Task-IL,52.1
leaky_relu_0.3_ours_adam,2,1,Class-IL,82.45
leaky_relu_0.3_ours_adam,2,1,Task-IL,82.45
leaky_relu_0.3_ours_adam,2,avg,Class-IL,41.22
leaky_relu_0.3_ours_adam,2,avg,Task-IL,67.28
leaky_relu_0.3_ours_adam,3,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,3,0,Task-IL,48.8
leaky_relu_0.3_ours_adam,3,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,3,1,Task-IL,56.35
leaky_relu_0.3_ours_adam,3,2,Class-IL,89.85
leaky_relu_0.3_ours_adam,3,2,Task-IL,89.85
leaky_relu_0.3_ours_adam,3,avg,Class-IL,29.95
leaky_relu_0.3_ours_adam,3,avg,Task-IL,65.0
leaky_relu_0.3_ours_adam,4,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,4,0,Task-IL,53.949999999999996
leaky_relu_0.3_ours_adam,4,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,4,1,Task-IL,49.65
leaky_relu_0.3_ours_adam,4,2,Class-IL,0.35000000000000003
leaky_relu_0.3_ours_adam,4,2,Task-IL,53.75
leaky_relu_0.3_ours_adam,4,3,Class-IL,93.7
leaky_relu_0.3_ours_adam,4,3,Task-IL,94.1
leaky_relu_0.3_ours_adam,4,avg,Class-IL,23.51
leaky_relu_0.3_ours_adam,4,avg,Task-IL,62.86
leaky_relu_0.3_ours_adam,5,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,0,Task-IL,57.8
leaky_relu_0.3_ours_adam,5,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,1,Task-IL,51.300000000000004
leaky_relu_0.3_ours_adam,5,2,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,2,Task-IL,50.4
leaky_relu_0.3_ours_adam,5,3,Class-IL,0.15
leaky_relu_0.3_ours_adam,5,3,Task-IL,71.3
leaky_relu_0.3_ours_adam,5,4,Class-IL,80.30000000000001
leaky_relu_0.3_ours_adam,5,4,Task-IL,92.5
leaky_relu_0.3_ours_adam,5,avg,Class-IL,16.09
leaky_relu_0.3_ours_adam,5,avg,Task-IL,64.66
relu_0.3_ghada_sgd,1,0,Class-IL,83.2
relu_0.3_ghada_sgd,1,0,Task-IL,83.2
relu_0.3_ghada_sgd,1,avg,Class-IL,83.2
relu_0.3_ghada_sgd,1,avg,Task-IL,83.2
relu_0.3_ghada_sgd,2,0,Class-IL,0.0
relu_0.3_ghada_sgd,2,0,Task-IL,63.949999999999996
relu_0.3_ghada_sgd,2,1,Class-IL,78.45
relu_0.3_ghada_sgd,2,1,Task-IL,78.45
relu_0.3_ghada_sgd,2,avg,Class-IL,39.22
relu_0.3_ghada_sgd,2,avg,Task-IL,71.2
relu_0.3_ghada_sgd,3,0,Class-IL,0.0
relu_0.3_ghada_sgd,3,0,Task-IL,69.1
relu_0.3_ghada_sgd,3,1,Class-IL,0.0
relu_0.3_ghada_sgd,3,1,Task-IL,64.85
relu_0.3_ghada_sgd,3,2,Class-IL,89.3
relu_0.3_ghada_sgd,3,2,Task-IL,89.3
relu_0.3_ghada_sgd,3,avg,Class-IL,29.77
relu_0.3_ghada_sgd,3,avg,Task-IL,74.42
relu_0.3_ghada_sgd,4,0,Class-IL,0.0
relu_0.3_ghada_sgd,4,0,Task-IL,49.4
relu_0.3_ghada_sgd,4,1,Class-IL,0.0
relu_0.3_ghada_sgd,4,1,Task-IL,55.35
relu_0.3_ghada_sgd,4,2,Class-IL,0.0
relu_0.3_ghada_sgd,4,2,Task-IL,67.25
relu_0.3_ghada_sgd,4,3,Class-IL,95.45
relu_0.3_ghada_sgd,4,3,Task-IL,95.45
relu_0.3_ghada_sgd,4,avg,Class-IL,23.86
relu_0.3_ghada_sgd,4,avg,Task-IL,66.86
relu_0.3_ghada_sgd,5,0,Class-IL,0.0
relu_0.3_ghada_sgd,5,0,Task-IL,74.15
relu_0.3_ghada_sgd,5,1,Class-IL,0.0
relu_0.3_ghada_sgd,5,1,Task-IL,61.8
relu_0.3_ghada_sgd,5,2,Class-IL,0.0
relu_0.3_ghada_sgd,5,2,Task-IL,57.95
relu_0.3_ghada_sgd,5,3,Class-IL,0.0
relu_0.3_ghada_sgd,5,3,Task-IL,71.35000000000001
relu_0.3_ghada_sgd,5,4,Class-IL,93.30000000000001
relu_0.3_ghada_sgd,5,4,Task-IL,93.30000000000001
relu_0.3_ghada_sgd,5,avg,Class-IL,18.66
relu_0.3_ghada_sgd,5,avg,Task-IL,71.71
leaky_relu_0.2_ghada_sgd,1,0,Class-IL,66.7
leaky_relu_0.2_ghada_sgd,1,0,Task-IL,66.7
leaky_relu_0.2_ghada_sgd,1,avg,Class-IL,66.7
leaky_relu_0.2_ghada_sgd,1,avg,Task-IL,66.7
leaky_relu_0.2_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,2,0,Task-IL,68.25
leaky_relu_0.2_ghada_sgd,2,1,Class-IL,69.69999999999999
leaky_relu_0.2_ghada_sgd,2,1,Task-IL,69.69999999999999
leaky_relu_0.2_ghada_sgd,2,avg,Class-IL,34.85
leaky_relu_0.2_ghada_sgd,2,avg,Task-IL,68.97
leaky_relu_0.2_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,0,Task-IL,74.3
leaky_relu_0.2_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,1,Task-IL,69.05
leaky_relu_0.2_ghada_sgd,3,2,Class-IL,90.10000000000001
leaky_relu_0.2_ghada_sgd,3,2,Task-IL,90.10000000000001
leaky_relu_0.2_ghada_sgd,3,avg,Class-IL,30.03
leaky_relu_0.2_ghada_sgd,3,avg,Task-IL,77.82
leaky_relu_0.2_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,0,Task-IL,51.349999999999994
leaky_relu_0.2_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,1,Task-IL,59.3
leaky_relu_0.2_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,2,Task-IL,70.39999999999999
leaky_relu_0.2_ghada_sgd,4,3,Class-IL,93.65
leaky_relu_0.2_ghada_sgd,4,3,Task-IL,93.65
leaky_relu_0.2_ghada_sgd,4,avg,Class-IL,23.41
leaky_relu_0.2_ghada_sgd,4,avg,Task-IL,68.68
leaky_relu_0.2_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,0,Task-IL,37.65
leaky_relu_0.2_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,1,Task-IL,52.800000000000004
leaky_relu_0.2_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,2,Task-IL,52.7
leaky_relu_0.2_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,3,Task-IL,63.7
leaky_relu_0.2_ghada_sgd,5,4,Class-IL,93.35
leaky_relu_0.2_ghada_sgd,5,4,Task-IL,93.35
leaky_relu_0.2_ghada_sgd,5,avg,Class-IL,18.67
leaky_relu_0.2_ghada_sgd,5,avg,Task-IL,60.04
01_baseline_sgd_relu,1,0,Class-IL,66.7
01_baseline_sgd_relu,1,0,Task-IL,66.7
01_baseline_sgd_relu,1,avg,Class-IL,66.7
01_baseline_sgd_relu,1,avg,Task-IL,66.7
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,68.25
01_baseline_sgd_relu,2,1,Class-IL,69.69999999999999
01_baseline_sgd_relu,2,1,Task-IL,69.69999999999999
01_baseline_sgd_relu,2,avg,Class-IL,34.85
01_baseline_sgd_relu,2,avg,Task-IL,68.97
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,74.3
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,69.05
01_baseline_sgd_relu,3,2,Class-IL,90.10000000000001
01_baseline_sgd_relu,3,2,Task-IL,90.10000000000001
01_baseline_sgd_relu,3,avg,Class-IL,30.03
01_baseline_sgd_relu,3,avg,Task-IL,77.82
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,48.35
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,56.89999999999999
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,72.95
01_baseline_sgd_relu,4,3,Class-IL,94.75
01_baseline_sgd_relu,4,3,Task-IL,94.75
01_baseline_sgd_relu,4,avg,Class-IL,23.69
01_baseline_sgd_relu,4,avg,Task-IL,68.24
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,68.2
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,43.8
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,51.5
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,54.6
01_baseline_sgd_relu,5,4,Class-IL,93.7
01_baseline_sgd_relu,5,4,Task-IL,93.7
01_baseline_sgd_relu,5,avg,Class-IL,18.74
01_baseline_sgd_relu,5,avg,Task-IL,62.36
silu_0.2_ours_sgd,1,0,Class-IL,68.85
silu_0.2_ours_sgd,1,0,Task-IL,68.85
silu_0.2_ours_sgd,1,avg,Class-IL,68.85
silu_0.2_ours_sgd,1,avg,Task-IL,68.85
silu_0.2_ours_sgd,2,0,Class-IL,0.0
silu_0.2_ours_sgd,2,0,Task-IL,63.4
silu_0.2_ours_sgd,2,1,Class-IL,82.19999999999999
silu_0.2_ours_sgd,2,1,Task-IL,82.19999999999999
silu_0.2_ours_sgd,2,avg,Class-IL,41.1
silu_0.2_ours_sgd,2,avg,Task-IL,72.8
silu_0.2_ours_sgd,3,0,Class-IL,0.0
silu_0.2_ours_sgd,3,0,Task-IL,69.69999999999999
silu_0.2_ours_sgd,3,1,Class-IL,0.0
silu_0.2_ours_sgd,3,1,Task-IL,70.8
silu_0.2_ours_sgd,3,2,Class-IL,91.0
silu_0.2_ours_sgd,3,2,Task-IL,91.0
silu_0.2_ours_sgd,3,avg,Class-IL,30.33
silu_0.2_ours_sgd,3,avg,Task-IL,77.17
silu_0.2_ours_sgd,4,0,Class-IL,0.0
silu_0.2_ours_sgd,4,0,Task-IL,59.150000000000006
silu_0.2_ours_sgd,4,1,Class-IL,0.0
silu_0.2_ours_sgd,4,1,Task-IL,52.0
silu_0.2_ours_sgd,4,2,Class-IL,0.0
silu_0.2_ours_sgd,4,2,Task-IL,73.0
silu_0.2_ours_sgd,4,3,Class-IL,95.89999999999999
silu_0.2_ours_sgd,4,3,Task-IL,95.89999999999999
silu_0.2_ours_sgd,4,avg,Class-IL,23.98
silu_0.2_ours_sgd,4,avg,Task-IL,70.01
silu_0.2_ours_sgd,5,0,Class-IL,0.0
silu_0.2_ours_sgd,5,0,Task-IL,81.65
silu_0.2_ours_sgd,5,1,Class-IL,0.0
silu_0.2_ours_sgd,5,1,Task-IL,61.25000000000001
silu_0.2_ours_sgd,5,2,Class-IL,0.0
silu_0.2_ours_sgd,5,2,Task-IL,61.8
silu_0.2_ours_sgd,5,3,Class-IL,0.0
silu_0.2_ours_sgd,5,3,Task-IL,74.9
silu_0.2_ours_sgd,5,4,Class-IL,95.89999999999999
silu_0.2_ours_sgd,5,4,Task-IL,95.89999999999999
silu_0.2_ours_sgd,5,avg,Class-IL,19.18
silu_0.2_ours_sgd,5,avg,Task-IL,75.1
relu_0.2_ours_adam,1,0,Class-IL,91.9
relu_0.2_ours_adam,1,0,Task-IL,91.9
relu_0.2_ours_adam,1,avg,Class-IL,91.9
relu_0.2_ours_adam,1,avg,Task-IL,91.9
relu_0.2_ours_adam,2,0,Class-IL,0.0
relu_0.2_ours_adam,2,0,Task-IL,47.05
relu_0.2_ours_adam,2,1,Class-IL,82.5
relu_0.2_ours_adam,2,1,Task-IL,82.5
relu_0.2_ours_adam,2,avg,Class-IL,41.25
relu_0.2_ours_adam,2,avg,Task-IL,64.78
relu_0.2_ours_adam,3,0,Class-IL,0.0
relu_0.2_ours_adam,3,0,Task-IL,38.25
relu_0.2_ours_adam,3,1,Class-IL,0.0
relu_0.2_ours_adam,3,1,Task-IL,53.949999999999996
relu_0.2_ours_adam,3,2,Class-IL,90.64999999999999
relu_0.2_ours_adam,3,2,Task-IL,90.64999999999999
relu_0.2_ours_adam,3,avg,Class-IL,30.22
relu_0.2_ours_adam,3,avg,Task-IL,60.95
relu_0.2_ours_adam,4,0,Class-IL,0.0
relu_0.2_ours_adam,4,0,Task-IL,53.2
relu_0.2_ours_adam,4,1,Class-IL,0.0
relu_0.2_ours_adam,4,1,Task-IL,50.9
relu_0.2_ours_adam,4,2,Class-IL,0.0
relu_0.2_ours_adam,4,2,Task-IL,50.1
relu_0.2_ours_adam,4,3,Class-IL,93.0
relu_0.2_ours_adam,4,3,Task-IL,93.0
relu_0.2_ours_adam,4,avg,Class-IL,23.25
relu_0.2_ours_adam,4,avg,Task-IL,61.8
relu_0.2_ours_adam,5,0,Class-IL,0.0
relu_0.2_ours_adam,5,0,Task-IL,79.7
relu_0.2_ours_adam,5,1,Class-IL,0.0
relu_0.2_ours_adam,5,1,Task-IL,49.35
relu_0.2_ours_adam,5,2,Class-IL,0.0
relu_0.2_ours_adam,5,2,Task-IL,50.0
relu_0.2_ours_adam,5,3,Class-IL,0.0
relu_0.2_ours_adam,5,3,Task-IL,50.1
relu_0.2_ours_adam,5,4,Class-IL,91.95
relu_0.2_ours_adam,5,4,Task-IL,91.95
