model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_method1_adam,98.0,64.45,64.52,61.85,59.51,69.67
relu_0.1_method1_sgd,97.1,78.0,78.23,61.31,69.93,76.91
relu_0.1_method2_adam,98.0,64.45,64.65,61.68,59.53,69.66
relu_0.1_method2_sgd,97.1,78.0,78.23,60.79,70.73,76.97
relu_0.2_method1_adam,98.0,60.4,64.48,61.39,59.3,68.71
relu_0.2_method1_sgd,97.1,72.22,64.42,58.68,59.75,70.43
relu_0.2_method2_adam,98.0,66.38,64.78,61.78,59.17,70.02
relu_0.2_method2_sgd,97.1,72.22,64.42,58.6,58.66,70.2
relu_0.3_method1_adam,98.0,68.22,59.15,63.0,59.2,69.51
relu_0.3_method1_sgd,97.1,75.47,77.48,58.56,62.16,74.15
relu_0.3_method2_adam,98.0,64.92,61.97,61.11,59.32,69.06
relu_0.3_method2_sgd,97.1,76.6,73.98,64.25,62.86,74.96
