model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.1_ghada_adam,98.0,44.28,26.62,19.16,17.34,41.08
relu_0.1_ghada_sgd,97.1,42.88,31.15,24.28,19.52,42.99
relu_0.1_ours_adam,98.0,44.28,26.62,19.16,17.34,41.08
relu_0.1_ours_sgd,97.1,42.88,31.15,24.25,19.54,42.98
relu_0.2_ghada_adam,98.0,44.38,26.75,19.96,17.36,41.29
relu_0.2_ghada_sgd,97.1,42.35,30.23,24.3,19.38,42.67
relu_0.2_ours_adam,98.0,44.47,26.72,19.39,17.31,41.18
relu_0.2_ours_sgd,97.1,42.35,30.23,24.25,19.45,42.68
relu_0.3_ghada_adam,98.0,36.68,31.13,21.45,17.53,40.96
relu_0.3_ghada_sgd,97.1,40.62,31.15,24.39,19.4,42.53
relu_0.3_ours_adam,98.0,36.43,30.83,20.31,17.34,40.58
relu_0.3_ours_sgd,97.1,42.38,31.08,24.1,18.84,42.7
