model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,0.0,0.0,2.0,0.0
relu_0.1_ghada_sgd,0.0,0.0,4.0,9.0,27.0
relu_0.1_ours_adam,0.0,0.0,0.0,2.0,0.0
relu_0.1_ours_sgd,0.0,0.0,4.0,9.0,27.0
relu_0.2_ghada_adam,0.0,12.0,12.0,9.0,10.0
relu_0.2_ghada_sgd,20.0,45.0,0.0,3.0,47.0
relu_0.2_ours_adam,0.0,12.0,13.0,2.0,8.0
relu_0.2_ours_sgd,20.0,45.0,11.0,55.0,168.0
relu_0.3_ghada_adam,2.0,0.0,91.0,43.0,56.0
relu_0.3_ghada_sgd,391.0,453.0,103.0,307.0,372.0
relu_0.3_ours_adam,2.0,0.0,81.0,36.0,57.0
relu_0.3_ours_sgd,391.0,451.0,400.0,394.0,367.0
