model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_ghada_adam,96.85,44.62,25.77,12.5,19.33,39.81
relu_0.1_ghada_sgd,97.0,43.53,31.02,24.42,19.35,43.06
relu_0.1_ours_adam,96.85,44.62,22.12,15.5,16.59,39.14
relu_0.1_ours_sgd,97.0,43.53,31.02,24.42,19.35,43.06
relu_0.2_ghada_adam,96.85,44.2,23.15,24.21,19.39,41.56
relu_0.2_ghada_sgd,97.0,42.9,31.08,24.45,19.14,42.91
relu_0.2_ours_adam,96.85,44.15,27.58,23.89,19.47,42.39
relu_0.2_ours_sgd,97.0,41.68,31.28,24.01,19.26,42.65
relu_0.3_ghada_adam,96.85,44.15,25.2,23.01,19.5,41.74
relu_0.3_ghada_sgd,97.0,42.75,31.05,24.38,19.35,42.91
relu_0.3_ours_adam,96.85,41.0,31.28,22.76,19.58,42.29
relu_0.3_ours_sgd,97.0,43.82,31.18,24.54,19.37,43.18
