model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_ours_adam,96.85,75.97,64.73,60.64,56.67,70.97
relu_0.1_ours_sgd,97.0,75.48,80.0,59.8,52.51,72.96
relu_0.2_ours_adam,96.85,75.97,60.97,56.04,58.61,69.69
relu_0.2_ours_sgd,97.0,60.62,72.17,56.32,55.13,68.25
relu_0.3_ours_adam,96.85,70.55,71.17,56.32,56.76,70.33
relu_0.3_ours_sgd,97.0,75.15,62.78,57.92,62.51,71.07
