model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_ours_adam,96.85,44.05,26.67,19.16,17.21,40.79
relu_0.1_ours_sgd,97.0,43.53,31.03,24.51,19.4,43.09
relu_0.2_ours_adam,96.85,44.05,26.53,19.04,17.1,40.71
relu_0.2_ours_sgd,97.0,43.8,31.43,24.46,19.15,43.17
relu_0.3_ours_adam,96.85,36.98,31.52,20.92,17.2,40.69
relu_0.3_ours_sgd,97.0,43.65,31.25,24.51,19.34,43.15
