model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.1_method1_adam,98.0,44.2,26.57,19.2,17.33,41.06
relu_0.1_method1_sgd,97.1,42.95,31.12,24.51,19.33,43.0
relu_0.1_method2_adam,98.0,44.2,26.57,19.2,17.33,41.06
relu_0.1_method2_sgd,97.1,42.95,31.12,24.51,19.49,43.03
relu_0.2_method1_adam,98.0,44.2,26.68,19.25,17.48,41.12
relu_0.2_method1_sgd,97.1,42.38,30.78,24.44,19.5,42.84
relu_0.2_method2_adam,98.0,44.2,26.42,19.19,17.16,40.99
relu_0.2_method2_sgd,97.1,42.38,30.7,23.9,19.27,42.67
relu_0.3_method1_adam,98.0,36.52,30.88,21.38,17.23,40.8
relu_0.3_method1_sgd,97.1,43.75,30.85,24.44,19.15,43.06
relu_0.3_method2_adam,98.0,36.52,31.07,21.2,17.49,40.86
relu_0.3_method2_sgd,97.1,42.55,30.98,24.5,19.06,42.84
