model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,1.0,1.0,1.0
relu_0.1_method1_sgd,0.0,2.0,18.0,13.0,32.0
relu_0.1_method2_adam,0.0,1.0,1.0,1.0,1.0
relu_0.1_method2_sgd,0.0,2.0,18.0,13.0,30.0
relu_0.2_method1_adam,0.0,42.0,12.0,31.0,10.0
relu_0.2_method1_sgd,26.0,295.0,275.0,105.0,155.0
relu_0.2_method2_adam,0.0,42.0,11.0,31.0,14.0
relu_0.2_method2_sgd,26.0,295.0,226.0,124.0,158.0
relu_0.3_method1_adam,2.0,0.0,57.0,61.0,10.0
relu_0.3_method1_sgd,384.0,471.0,408.0,322.0,318.0
relu_0.3_method2_adam,2.0,0.0,51.0,55.0,35.0
relu_0.3_method2_sgd,384.0,480.0,330.0,342.0,288.0
