model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,0.0,17.0,103.0
leaky_relu_0.2_ghada_sgd,0.0,0.0,0.0,1.0,0.0
leaky_relu_0.2_ours_adam,0.0,0.0,0.0,17.0,103.0
leaky_relu_0.2_ours_sgd,0.0,0.0,0.0,1.0,0.0
leaky_relu_0.3_ghada_adam,0.0,2.0,12.0,55.0,105.0
leaky_relu_0.3_ghada_sgd,0.0,1.0,16.0,22.0,39.0
leaky_relu_0.3_ours_adam,0.0,2.0,12.0,43.0,96.0
leaky_relu_0.3_ours_sgd,0.0,3.0,16.0,17.0,10.0
relu_0.2_ghada_adam,0.0,0.0,2.0,14.0,74.0
relu_0.2_ghada_sgd,0.0,0.0,4.0,23.0,17.0
relu_0.2_ours_adam,0.0,0.0,2.0,14.0,74.0
relu_0.2_ours_sgd,0.0,0.0,4.0,23.0,17.0
relu_0.3_ghada_adam,0.0,3.0,16.0,47.0,108.0
relu_0.3_ghada_sgd,0.0,40.0,8.0,39.0,58.0
relu_0.3_ours_adam,0.0,3.0,23.0,49.0,104.0
relu_0.3_ours_sgd,0.0,42.0,28.0,42.0,54.0
silu_0.2_ghada_adam,0.0,3.0,29.0,9.0,34.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,3.0,29.0,9.0,34.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,53.0,57.0,61.0,52.0
silu_0.3_ghada_sgd,0.0,0.0,6.0,5.0,23.0
silu_0.3_ours_adam,0.0,47.0,51.0,26.0,58.0
silu_0.3_ours_sgd,0.0,0.0,6.0,3.0,26.0
