model,1,2,3,4,5,Average
01_baseline_sgd_relu,83.2,70.55,72.63,66.38,66.59,71.87
leaky_relu_0.2_ghada_adam,93.2,67.05,69.43,62.64,65.38,71.54
leaky_relu_0.2_ghada_sgd,66.7,68.97,77.82,68.24,63.56,69.06
leaky_relu_0.2_ours_adam,93.2,67.05,69.43,62.64,65.38,71.54
leaky_relu_0.2_ours_sgd,66.7,68.97,77.82,68.24,63.56,69.06
leaky_relu_0.3_ghada_adam,93.2,67.05,54.17,61.64,63.74,67.96
leaky_relu_0.3_ghada_sgd,66.7,62.12,74.63,67.85,69.98,68.26
leaky_relu_0.3_ours_adam,93.2,67.05,53.73,60.39,64.17,67.71
leaky_relu_0.3_ours_sgd,66.7,66.38,75.78,64.9,67.59,68.27
relu_0.2_ghada_adam,91.9,61.05,58.9,61.1,61.11,66.81
relu_0.2_ghada_sgd,83.2,70.55,71.58,66.61,70.98,72.58
relu_0.2_ours_adam,91.9,61.05,58.9,61.1,61.11,66.81
relu_0.2_ours_sgd,83.2,70.55,71.58,66.61,70.98,72.58
relu_0.3_ghada_adam,91.9,61.05,59.12,60.62,60.46,66.63
relu_0.3_ghada_sgd,83.2,70.53,73.27,64.78,69.6,72.28
relu_0.3_ours_adam,91.9,61.05,58.3,60.88,50.74,64.57
relu_0.3_ours_sgd,83.2,72.57,74.77,65.55,73.71,73.96
silu_0.2_ghada_adam,94.8,67.08,62.92,67.28,61.18,70.65
silu_0.2_ghada_sgd,68.85,72.8,77.17,70.01,75.09,72.78
silu_0.2_ours_adam,94.8,67.08,62.92,67.28,61.18,70.65
silu_0.2_ours_sgd,68.85,72.8,77.17,70.01,75.09,72.78
silu_0.3_ghada_adam,94.8,66.38,64.2,56.15,62.19,68.74
silu_0.3_ghada_sgd,68.85,72.8,76.05,69.79,76.17,72.73
silu_0.3_ours_adam,94.8,67.18,67.58,59.44,63.79,70.56
silu_0.3_ours_sgd,68.85,72.8,77.18,69.56,75.78,72.83
