model,1,2,3,4,5,Average
01_baseline_sgd_relu,83.2,38.92,29.18,24.05,18.51,38.77
leaky_relu_0.2_ghada_adam,93.2,42.12,30.03,23.9,17.78,41.41
leaky_relu_0.2_ghada_sgd,66.7,34.85,30.03,23.69,18.7,34.79
leaky_relu_0.2_ours_adam,93.2,42.12,30.03,23.9,17.78,41.41
leaky_relu_0.2_ours_sgd,66.7,34.85,30.03,23.69,18.7,34.79
leaky_relu_0.3_ghada_adam,93.2,42.12,26.17,17.21,10.44,37.83
leaky_relu_0.3_ghada_sgd,66.7,29.85,29.1,23.48,18.93,33.61
leaky_relu_0.3_ours_adam,93.2,42.12,27.05,24.1,13.11,39.92
leaky_relu_0.3_ours_sgd,66.7,33.12,29.1,22.78,18.82,34.1
relu_0.2_ghada_adam,91.9,40.05,30.47,23.48,18.8,40.94
relu_0.2_ghada_sgd,83.2,38.92,28.83,24.18,18.73,38.77
relu_0.2_ours_adam,91.9,40.05,30.47,23.48,18.8,40.94
relu_0.2_ours_sgd,83.2,38.92,28.83,24.18,18.73,38.77
relu_0.3_ghada_adam,91.9,40.05,29.15,23.78,18.1,40.6
relu_0.3_ghada_sgd,83.2,38.45,29.42,23.95,18.87,38.78
relu_0.3_ours_adam,91.9,40.05,27.92,22.96,16.0,39.77
relu_0.3_ours_sgd,83.2,40.5,29.38,23.89,18.98,39.19
silu_0.2_ghada_adam,94.8,42.15,30.28,23.71,18.75,41.94
silu_0.2_ghada_sgd,68.85,41.1,30.33,23.98,19.18,36.69
silu_0.2_ours_adam,94.8,42.15,30.28,23.71,18.75,41.94
silu_0.2_ours_sgd,68.85,41.1,30.33,23.98,19.18,36.69
silu_0.3_ghada_adam,94.8,41.68,28.93,17.3,7.33,38.01
silu_0.3_ghada_sgd,68.85,41.1,29.98,23.59,19.12,36.53
silu_0.3_ours_adam,94.8,42.12,30.0,11.54,18.31,39.35
silu_0.3_ours_sgd,68.85,41.1,30.32,23.7,19.12,36.62
