model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.025_method1_sgd,92.8,40.83,29.42,23.96,18.85,41.17
relu_0.025_method2_sgd,92.8,40.98,29.4,23.82,18.71,41.14
relu_0.05_method1_sgd,92.8,40.85,29.3,23.92,18.71,41.12
relu_0.05_method2_sgd,92.8,40.95,29.22,23.5,18.9,41.07
relu_0.1_method1_sgd,92.8,41.2,28.93,23.74,18.78,41.09
relu_0.1_method2_sgd,92.8,40.5,29.05,23.91,18.68,40.99
