model,1,2,3,4,5,Average
01_baseline_sgd_relu,89.1,36.68,29.18,23.98,18.37,39.46
leaky_relu_0.2_ghada_adam,90.5,38.85,29.73,23.38,18.69,40.23
leaky_relu_0.2_ghada_sgd,89.1,36.68,28.93,23.65,18.35,39.34
leaky_relu_0.2_ours_adam,90.5,38.85,29.73,23.38,18.69,40.23
leaky_relu_0.2_ours_sgd,89.1,36.68,28.93,23.65,18.35,39.34
leaky_relu_0.3_ghada_adam,90.5,37.75,28.77,23.55,18.1,39.73
leaky_relu_0.3_ghada_sgd,89.1,39.95,29.53,24.01,18.62,40.24
leaky_relu_0.3_ours_adam,90.5,39.75,28.7,22.39,18.2,39.91
leaky_relu_0.3_ours_sgd,89.1,39.02,28.17,23.14,18.9,39.67
relu_0.2_ghada_adam,93.85,37.28,28.92,23.86,17.83,40.35
relu_0.2_ghada_sgd,87.45,39.83,28.48,23.8,18.76,39.66
relu_0.2_ours_adam,93.85,37.28,28.92,23.86,17.83,40.35
relu_0.2_ours_sgd,87.45,39.83,28.48,23.8,18.76,39.66
relu_0.3_ghada_adam,93.85,33.32,26.83,21.26,17.52,38.56
relu_0.3_ghada_sgd,87.45,39.83,29.07,24.0,18.43,39.76
relu_0.3_ours_adam,93.85,34.5,27.17,24.01,17.85,39.48
relu_0.3_ours_sgd,87.45,39.0,29.5,23.45,18.66,39.61
silu_0.2_ghada_adam,90.95,40.9,30.47,14.76,7.94,37.0
silu_0.2_ghada_sgd,94.55,41.68,29.92,24.44,18.7,41.86
silu_0.2_ours_adam,90.95,40.9,30.47,14.76,7.94,37.0
silu_0.2_ours_sgd,94.55,41.68,29.92,24.44,18.7,41.86
silu_0.3_ghada_adam,90.95,40.9,30.32,10.89,9.05,36.42
silu_0.3_ghada_sgd,94.55,41.68,29.7,24.31,18.86,41.82
silu_0.3_ours_adam,90.95,40.9,29.8,8.51,6.58,35.35
silu_0.3_ours_sgd,94.55,41.68,29.87,24.35,18.46,41.78
