model,1,2,3,4,5,Average
01_baseline_sgd_relu,89.1,71.85,71.83,71.86,62.62,73.45
leaky_relu_0.2_ghada_adam,90.5,57.68,61.88,57.65,57.83,65.11
leaky_relu_0.2_ghada_sgd,89.1,71.85,70.98,71.95,62.67,73.31
leaky_relu_0.2_ours_adam,90.5,57.68,61.88,57.65,57.83,65.11
leaky_relu_0.2_ours_sgd,89.1,71.85,70.98,71.95,62.67,73.31
leaky_relu_0.3_ghada_adam,90.5,58.02,62.28,60.34,55.49,65.33
leaky_relu_0.3_ghada_sgd,89.1,76.38,70.32,68.04,65.2,73.81
leaky_relu_0.3_ours_adam,90.5,62.8,65.98,60.01,56.95,67.25
leaky_relu_0.3_ours_sgd,89.1,76.75,74.38,71.24,70.81,76.46
relu_0.2_ghada_adam,93.85,54.43,61.85,59.72,54.31,64.83
relu_0.2_ghada_sgd,87.45,77.9,69.2,68.16,72.62,75.07
relu_0.2_ours_adam,93.85,54.43,61.85,59.72,54.31,64.83
relu_0.2_ours_sgd,87.45,77.9,69.2,68.16,72.62,75.07
relu_0.3_ghada_adam,93.85,53.65,61.78,61.04,57.12,65.49
relu_0.3_ghada_sgd,87.45,78.4,73.97,66.54,65.63,74.4
relu_0.3_ours_adam,93.85,54.6,63.78,60.11,60.21,66.51
relu_0.3_ours_sgd,87.45,75.97,76.12,69.99,74.25,76.76
silu_0.2_ghada_adam,90.95,65.05,64.7,62.59,48.98,66.45
silu_0.2_ghada_sgd,94.55,80.82,72.52,75.09,73.72,79.34
silu_0.2_ours_adam,90.95,65.05,64.7,62.59,48.98,66.45
silu_0.2_ours_sgd,94.55,80.82,72.52,75.09,73.72,79.34
silu_0.3_ghada_adam,90.95,65.05,59.95,58.18,59.07,66.64
silu_0.3_ghada_sgd,94.55,80.82,72.65,75.55,72.25,79.16
silu_0.3_ours_adam,90.95,65.05,59.63,54.44,58.44,65.7
silu_0.3_ours_sgd,94.55,80.82,73.2,76.38,73.24,79.64
