layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,1,3,1.0,1,1,1
conv1,1,4,1.0,1,1,1
conv1,1,5,1.0,1,1,1
conv1,1,6,1.0,1,1,1
conv1,1,7,1.0,1,1,1
conv1,1,8,1.0,1,1,1
conv1,1,9,1.0,1,1,1
conv1,2,0,1.0,1,1,1
conv1,2,1,1.0,1,1,1
layer4,2,1,0.9285714285714286,23,14,13
conv1,2,2,1.0,1,1,1
layer4,2,2,1.0,7,24,7
conv1,2,3,1.0,1,1,1
layer4,2,3,0.9166666666666666,24,24,22
conv1,2,4,1.0,1,1,1
layer4,2,4,1.0,12,26,12
conv1,2,5,1.0,2,1,1
layer4,2,5,1.0,8,26,8
conv1,2,6,1.0,2,2,2
layer4,2,6,1.0,11,26,11
conv1,2,7,1.0,2,2,2
layer4,2,7,1.0,10,26,10
conv1,2,8,1.0,1,2,1
layer4,2,8,1.0,1,26,1
conv1,2,9,1.0,1,2,1
layer4,2,9,1.0,4,26,4
conv1,3,0,1.0,1,2,1
layer4,3,0,0.6923076923076923,92,26,18
conv1,3,1,1.0,2,2,2
layer4,3,1,1.0,71,100,71
conv1,3,2,1.0,2,2,2
layer4,3,2,1.0,63,100,63
conv1,3,3,1.0,1,2,1
layer4,3,3,1.0,62,100,62
conv1,3,4,1.0,1,2,1
layer4,3,4,1.0,57,100,57
conv1,3,5,1.0,1,2,1
layer4,3,5,1.0,54,100,54
conv1,3,6,1.0,1,2,1
layer4,3,6,1.0,60,100,60
conv1,3,7,1.0,1,2,1
layer4,3,7,1.0,45,100,45
conv1,3,8,1.0,1,2,1
layer4,3,8,1.0,53,100,53
conv1,3,9,1.0,1,2,1
layer4,3,9,1.0,31,100,31
conv1,4,0,1.0,1,2,1
layer4,4,0,0.84,125,100,84
conv1,4,1,0.5,2,2,1
layer4,4,1,1.0,111,141,111
conv1,4,2,1.0,2,3,2
layer4,4,2,1.0,108,141,108
conv1,4,3,1.0,2,3,2
layer4,4,3,1.0,102,141,102
conv1,4,4,1.0,2,3,2
layer4,4,4,1.0,105,141,105
conv1,4,5,1.0,2,3,2
layer4,4,5,1.0,99,141,99
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,92,141,92
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,91,141,91
conv1,4,8,0.6666666666666666,3,3,2
layer4,4,8,1.0,81,141,81
conv1,4,9,1.0,3,4,3
layer4,4,9,1.0,77,141,77
