layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,2,0,0.0,1,1,0
conv1,2,1,1.0,2,2,2
layer4,2,1,1.0,5,13,5
conv1,2,2,1.0,2,2,2
layer4,2,2,0.7777777777777778,9,13,7
conv1,2,3,1.0,2,2,2
layer4,2,3,1.0,3,15,3
conv1,2,4,1.0,2,2,2
layer4,2,4,1.0,1,15,1
conv1,2,5,1.0,2,2,2
conv1,2,6,1.0,3,2,2
layer4,2,6,1.0,1,15,1
conv1,2,7,1.0,2,3,2
layer4,2,7,0.7142857142857143,7,15,5
conv1,2,8,1.0,2,3,2
layer4,2,8,1.0,1,17,1
conv1,2,9,1.0,2,3,2
conv1,3,0,1.0,5,3,3
layer4,3,0,0.2,5,17,1
conv1,3,1,1.0,5,5,5
layer4,3,1,0.6666666666666666,3,21,2
conv1,3,2,1.0,4,5,4
layer4,3,2,0.7142857142857143,7,22,5
conv1,3,3,1.0,5,5,5
layer4,3,3,1.0,1,24,1
conv1,3,4,1.0,5,5,5
layer4,3,4,1.0,2,24,2
conv1,3,5,1.0,5,5,5
layer4,3,5,1.0,4,24,4
conv1,3,6,1.0,4,5,4
conv1,3,7,1.0,5,5,5
layer4,3,7,1.0,2,24,2
conv1,3,8,1.0,5,5,5
layer4,3,8,1.0,8,24,8
conv1,3,9,1.0,4,5,4
conv1,4,0,1.0,4,5,4
layer4,4,0,0.6666666666666666,9,24,6
conv1,4,1,1.0,4,5,4
layer4,4,1,1.0,7,27,7
conv1,4,2,1.0,4,5,4
layer4,4,2,1.0,7,27,7
conv1,4,3,1.0,4,5,4
layer4,4,3,1.0,8,27,8
conv1,4,4,1.0,4,5,4
layer4,4,4,1.0,3,27,3
conv1,4,5,1.0,4,5,4
layer4,4,5,1.0,6,27,6
conv1,4,6,1.0,4,5,4
layer4,4,6,1.0,7,27,7
conv1,4,7,1.0,4,5,4
layer4,4,7,1.0,7,27,7
conv1,4,8,1.0,4,5,4
layer4,4,8,1.0,5,27,5
conv1,4,9,1.0,4,5,4
layer4,4,9,1.0,3,27,3
