model,1,2,3,4,5,Average
01_baseline_sgd_relu,90.95,77.38,76.27,77.01,72.41,78.8
leaky_relu_0.2_ghada_adam,94.05,75.62,67.23,61.39,64.58,72.57
leaky_relu_0.2_ghada_sgd,90.95,77.38,76.27,77.03,72.56,78.84
leaky_relu_0.2_ours_adam,94.05,75.62,67.23,61.39,64.58,72.57
leaky_relu_0.2_ours_sgd,90.95,77.38,76.27,77.03,72.56,78.84
leaky_relu_0.3_ghada_adam,94.05,74.22,60.5,61.62,63.78,70.83
leaky_relu_0.3_ghada_sgd,90.95,76.25,76.57,79.0,73.42,79.24
leaky_relu_0.3_ours_adam,94.05,71.85,68.53,65.75,62.18,72.47
leaky_relu_0.3_ours_sgd,90.95,76.95,76.25,75.6,69.13,77.78
relu_0.2_ghada_adam,94.65,68.45,64.15,61.5,56.28,69.01
relu_0.2_ghada_sgd,93.5,70.8,75.25,62.98,68.6,74.23
relu_0.2_ours_adam,94.65,68.45,64.15,61.5,56.28,69.01
relu_0.2_ours_sgd,93.5,70.8,75.25,62.98,69.64,74.43
relu_0.3_ghada_adam,94.65,68.92,61.18,62.09,61.21,69.61
relu_0.3_ghada_sgd,93.5,74.1,76.57,77.04,71.67,78.58
relu_0.3_ours_adam,94.65,69.12,61.48,60.35,59.73,69.07
relu_0.3_ours_sgd,93.5,73.88,71.85,73.45,68.9,76.32
silu_0.2_ghada_adam,96.0,74.92,66.52,62.69,65.56,73.14
silu_0.2_ghada_sgd,95.4,74.58,77.85,77.61,75.14,80.12
silu_0.2_ours_adam,96.0,74.92,66.52,62.69,65.56,73.14
silu_0.2_ours_sgd,95.4,74.58,77.85,77.61,75.14,80.12
silu_0.3_ghada_adam,96.0,75.4,68.25,61.65,56.29,71.52
silu_0.3_ghada_sgd,95.4,74.58,77.85,77.69,74.49,80.0
silu_0.3_ours_adam,96.0,75.4,68.25,61.49,65.06,73.24
silu_0.3_ours_sgd,95.4,74.58,77.85,77.68,75.27,80.16
