model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,3.0,25.0,90.0
leaky_relu_0.2_ghada_sgd,0.0,0.0,2.0,0.0,3.0
leaky_relu_0.2_ours_adam,0.0,0.0,3.0,25.0,90.0
leaky_relu_0.2_ours_sgd,0.0,0.0,2.0,0.0,3.0
leaky_relu_0.3_ghada_adam,0.0,0.0,14.0,63.0,94.0
leaky_relu_0.3_ghada_sgd,0.0,22.0,20.0,13.0,30.0
leaky_relu_0.3_ours_adam,0.0,0.0,7.0,40.0,104.0
leaky_relu_0.3_ours_sgd,0.0,22.0,30.0,19.0,23.0
relu_0.2_ghada_adam,0.0,0.0,0.0,9.0,67.0
relu_0.2_ghada_sgd,0.0,19.0,4.0,0.0,4.0
relu_0.2_ours_adam,0.0,0.0,0.0,9.0,67.0
relu_0.2_ours_sgd,0.0,19.0,4.0,0.0,22.0
relu_0.3_ghada_adam,0.0,1.0,16.0,40.0,111.0
relu_0.3_ghada_sgd,0.0,89.0,43.0,30.0,88.0
relu_0.3_ours_adam,0.0,1.0,18.0,37.0,90.0
relu_0.3_ours_sgd,0.0,89.0,35.0,21.0,64.0
silu_0.2_ghada_adam,0.0,0.0,19.0,5.0,6.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,0.0,19.0,5.0,6.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,22.0,56.0,45.0,12.0
silu_0.3_ghada_sgd,0.0,0.0,6.0,4.0,10.0
silu_0.3_ours_adam,0.0,22.0,56.0,45.0,31.0
silu_0.3_ours_sgd,0.0,0.0,6.0,4.0,9.0
