model,num_tasks_seen,task,metric_type,accuracy
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,48.5
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,43.6
relu_0.3_ours_adam,4,2,Class-IL,0.0
relu_0.3_ours_adam,4,2,Task-IL,49.5
relu_0.3_ours_adam,4,3,Class-IL,83.7
relu_0.3_ours_adam,4,3,Task-IL,83.7
relu_0.3_ours_adam,4,avg,Class-IL,20.92
relu_0.3_ours_adam,4,avg,Task-IL,56.32
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,35.15
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,49.85
relu_0.3_ours_adam,5,2,Class-IL,0.0
relu_0.3_ours_adam,5,2,Task-IL,55.65
relu_0.3_ours_adam,5,3,Class-IL,0.0
relu_0.3_ours_adam,5,3,Task-IL,57.15
relu_0.3_ours_adam,5,4,Class-IL,86.0
relu_0.3_ours_adam,5,4,Task-IL,86.0
relu_0.3_ours_adam,5,avg,Class-IL,17.2
relu_0.3_ours_adam,5,avg,Task-IL,56.76
relu_0.3_ours_sgd,1,0,Class-IL,97.0
relu_0.3_ours_sgd,1,0,Task-IL,97.0
relu_0.3_ours_sgd,1,avg,Class-IL,97.0
relu_0.3_ours_sgd,1,avg,Task-IL,97.0
relu_0.3_ours_sgd,2,0,Class-IL,0.0
relu_0.3_ours_sgd,2,0,Task-IL,63.0
relu_0.3_ours_sgd,2,1,Class-IL,87.3
relu_0.3_ours_sgd,2,1,Task-IL,87.3
relu_0.3_ours_sgd,2,avg,Class-IL,43.65
relu_0.3_ours_sgd,2,avg,Task-IL,75.15
relu_0.3_ours_sgd,3,0,Class-IL,0.0
relu_0.3_ours_sgd,3,0,Task-IL,43.05
relu_0.3_ours_sgd,3,1,Class-IL,0.0
relu_0.3_ours_sgd,3,1,Task-IL,51.55
relu_0.3_ours_sgd,3,2,Class-IL,93.75
relu_0.3_ours_sgd,3,2,Task-IL,93.75
relu_0.3_ours_sgd,3,avg,Class-IL,31.25
relu_0.3_ours_sgd,3,avg,Task-IL,62.78
relu_0.3_ours_sgd,4,0,Class-IL,0.0
relu_0.3_ours_sgd,4,0,Task-IL,46.650000000000006
relu_0.3_ours_sgd,4,1,Class-IL,0.0
relu_0.3_ours_sgd,4,1,Task-IL,45.95
relu_0.3_ours_sgd,4,2,Class-IL,0.0
relu_0.3_ours_sgd,4,2,Task-IL,41.05
relu_0.3_ours_sgd,4,3,Class-IL,98.05
relu_0.3_ours_sgd,4,3,Task-IL,98.05
relu_0.3_ours_sgd,4,avg,Class-IL,24.51
relu_0.3_ours_sgd,4,avg,Task-IL,57.92
relu_0.3_ours_sgd,5,0,Class-IL,0.0
relu_0.3_ours_sgd,5,0,Task-IL,48.05
relu_0.3_ours_sgd,5,1,Class-IL,0.0
relu_0.3_ours_sgd,5,1,Task-IL,53.65
relu_0.3_ours_sgd,5,2,Class-IL,0.0
relu_0.3_ours_sgd,5,2,Task-IL,63.449999999999996
relu_0.3_ours_sgd,5,3,Class-IL,0.0
relu_0.3_ours_sgd,5,3,Task-IL,50.7
relu_0.3_ours_sgd,5,4,Class-IL,96.7
relu_0.3_ours_sgd,5,4,Task-IL,96.7
relu_0.3_ours_sgd,5,avg,Class-IL,19.34
relu_0.3_ours_sgd,5,avg,Task-IL,62.51
relu_0.1_ours_adam,1,0,Class-IL,96.85000000000001
relu_0.1_ours_adam,1,0,Task-IL,96.85000000000001
relu_0.1_ours_adam,1,avg,Class-IL,96.85
relu_0.1_ours_adam,1,avg,Task-IL,96.85
relu_0.1_ours_adam,2,0,Class-IL,0.0
relu_0.1_ours_adam,2,0,Task-IL,63.849999999999994
relu_0.1_ours_adam,2,1,Class-IL,88.1
relu_0.1_ours_adam,2,1,Task-IL,88.1
relu_0.1_ours_adam,2,avg,Class-IL,44.05
relu_0.1_ours_adam,2,avg,Task-IL,75.97
relu_0.1_ours_adam,3,0,Class-IL,0.0
relu_0.1_ours_adam,3,0,Task-IL,44.9
relu_0.1_ours_adam,3,1,Class-IL,0.0
relu_0.1_ours_adam,3,1,Task-IL,69.3
relu_0.1_ours_adam,3,2,Class-IL,80.0
relu_0.1_ours_adam,3,2,Task-IL,80.0
relu_0.1_ours_adam,3,avg,Class-IL,26.67
relu_0.1_ours_adam,3,avg,Task-IL,64.73
relu_0.1_ours_adam,4,0,Class-IL,0.0
relu_0.1_ours_adam,4,0,Task-IL,54.35
relu_0.1_ours_adam,4,1,Class-IL,0.0
relu_0.1_ours_adam,4,1,Task-IL,60.25
relu_0.1_ours_adam,4,2,Class-IL,0.0
relu_0.1_ours_adam,4,2,Task-IL,51.300000000000004
relu_0.1_ours_adam,4,3,Class-IL,76.64999999999999
relu_0.1_ours_adam,4,3,Task-IL,76.64999999999999
relu_0.1_ours_adam,4,avg,Class-IL,19.16
relu_0.1_ours_adam,4,avg,Task-IL,60.64
relu_0.1_ours_adam,5,0,Class-IL,0.0
relu_0.1_ours_adam,5,0,Task-IL,31.85
relu_0.1_ours_adam,5,1,Class-IL,0.0
relu_0.1_ours_adam,5,1,Task-IL,73.1
relu_0.1_ours_adam,5,2,Class-IL,0.0
relu_0.1_ours_adam,5,2,Task-IL,48.5
relu_0.1_ours_adam,5,3,Class-IL,0.0
relu_0.1_ours_adam,5,3,Task-IL,43.85
relu_0.1_ours_adam,5,4,Class-IL,86.05000000000001
relu_0.1_ours_adam,5,4,Task-IL,86.05000000000001
relu_0.1_ours_adam,5,avg,Class-IL,17.21
relu_0.1_ours_adam,5,avg,Task-IL,56.67
relu_0.1_ours_sgd,1,0,Class-IL,97.0
relu_0.1_ours_sgd,1,0,Task-IL,97.0
relu_0.1_ours_sgd,1,avg,Class-IL,97.0
relu_0.1_ours_sgd,1,avg,Task-IL,97.0
relu_0.1_ours_sgd,2,0,Class-IL,0.0
relu_0.1_ours_sgd,2,0,Task-IL,63.9
relu_0.1_ours_sgd,2,1,Class-IL,87.05000000000001
relu_0.1_ours_sgd,2,1,Task-IL,87.05000000000001
relu_0.1_ours_sgd,2,avg,Class-IL,43.53
relu_0.1_ours_sgd,2,avg,Task-IL,75.48
relu_0.1_ours_sgd,3,0,Class-IL,0.0
relu_0.1_ours_sgd,3,0,Task-IL,76.2
relu_0.1_ours_sgd,3,1,Class-IL,0.0
relu_0.1_ours_sgd,3,1,Task-IL,70.7
relu_0.1_ours_sgd,3,2,Class-IL,93.10000000000001
relu_0.1_ours_sgd,3,2,Task-IL,93.10000000000001
relu_0.1_ours_sgd,3,avg,Class-IL,31.03
relu_0.1_ours_sgd,3,avg,Task-IL,80.0
relu_0.1_ours_sgd,4,0,Class-IL,0.0
relu_0.1_ours_sgd,4,0,Task-IL,47.3
relu_0.1_ours_sgd,4,1,Class-IL,0.0
relu_0.1_ours_sgd,4,1,Task-IL,47.75
relu_0.1_ours_sgd,4,2,Class-IL,0.0
relu_0.1_ours_sgd,4,2,Task-IL,46.1
relu_0.1_ours_sgd,4,3,Class-IL,98.05
relu_0.1_ours_sgd,4,3,Task-IL,98.05
relu_0.1_ours_sgd,4,avg,Class-IL,24.51
relu_0.1_ours_sgd,4,avg,Task-IL,59.8
relu_0.1_ours_sgd,5,0,Class-IL,0.0
relu_0.1_ours_sgd,5,0,Task-IL,32.7
relu_0.1_ours_sgd,5,1,Class-IL,0.0
relu_0.1_ours_sgd,5,1,Task-IL,46.300000000000004
relu_0.1_ours_sgd,5,2,Class-IL,0.0
relu_0.1_ours_sgd,5,2,Task-IL,47.949999999999996
relu_0.1_ours_sgd,5,3,Class-IL,0.0
relu_0.1_ours_sgd,5,3,Task-IL,38.6
relu_0.1_ours_sgd,5,4,Class-IL,97.0
relu_0.1_ours_sgd,5,4,Task-IL,97.0
relu_0.1_ours_sgd,5,avg,Class-IL,19.4
relu_0.1_ours_sgd,5,avg,Task-IL,52.51
01_baseline_sgd_relu,1,0,Class-IL,97.0
01_baseline_sgd_relu,1,0,Task-IL,97.0
01_baseline_sgd_relu,1,avg,Class-IL,97.0
01_baseline_sgd_relu,1,avg,Task-IL,97.0
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,63.9
01_baseline_sgd_relu,2,1,Class-IL,87.05000000000001
01_baseline_sgd_relu,2,1,Task-IL,87.05000000000001
01_baseline_sgd_relu,2,avg,Class-IL,43.53
01_baseline_sgd_relu,2,avg,Task-IL,75.48
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,76.2
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,70.7
01_baseline_sgd_relu,3,2,Class-IL,93.10000000000001
01_baseline_sgd_relu,3,2,Task-IL,93.10000000000001
01_baseline_sgd_relu,3,avg,Class-IL,31.03
01_baseline_sgd_relu,3,avg,Task-IL,80.0
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,60.4
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,53.800000000000004
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,60.650000000000006
01_baseline_sgd_relu,4,3,Class-IL,98.0
01_baseline_sgd_relu,4,3,Task-IL,98.0
01_baseline_sgd_relu,4,avg,Class-IL,24.5
01_baseline_sgd_relu,4,avg,Task-IL,68.21
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,23.200000000000003
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,46.85
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,53.6
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,64.85
01_baseline_sgd_relu,5,4,Class-IL,96.25
01_baseline_sgd_relu,5,4,Task-IL,96.25
01_baseline_sgd_relu,5,avg,Class-IL,19.25
01_baseline_sgd_relu,5,avg,Task-IL,56.95
