model,1,2,3,4,5
relu_0.025_method1_sgd,1.0,2.0,1.0,1.0,1.0
relu_0.025_method2_sgd,1.0,2.0,1.0,4.0,1.0
relu_0.05_method1_sgd,2.0,2.0,1.0,1.0,1.0
relu_0.05_method2_sgd,2.0,2.0,4.0,1.0,2.0
relu_0.1_method1_sgd,8.0,9.0,1.0,4.0,3.0
relu_0.1_method2_sgd,8.0,9.0,3.0,1.0,7.0
