model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.025_method1_sgd,92.5,73.12,68.88,74.7,69.5,75.74
relu_0.025_method2_sgd,92.5,72.65,68.52,73.15,69.3,75.22
relu_0.05_method1_sgd,92.5,73.15,68.93,72.42,70.72,75.54
relu_0.05_method2_sgd,92.5,74.22,70.5,72.42,68.56,75.64
relu_0.1_method1_sgd,92.5,73.32,67.88,72.31,69.11,75.02
relu_0.1_method2_sgd,92.5,72.53,70.1,71.38,72.26,75.75
