model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.1_ghada_adam,96.9,40.9,25.92,20.86,19.38,40.79
relu_0.1_ghada_sgd,97.25,43.7,31.32,24.46,19.48,43.24
relu_0.1_ours_adam,96.9,40.9,25.92,20.86,19.38,40.79
relu_0.1_ours_sgd,97.25,43.7,31.32,24.46,19.25,43.2
relu_0.2_ghada_adam,96.9,36.85,26.37,19.44,17.09,39.33
relu_0.2_ghada_sgd,97.25,44.3,31.32,24.46,19.49,43.36
relu_0.2_ours_adam,96.9,39.45,25.33,20.12,16.98,39.76
relu_0.2_ours_sgd,97.25,44.3,31.32,24.54,19.45,43.37
relu_0.3_ghada_adam,96.9,35.48,18.38,21.2,17.23,37.84
relu_0.3_ghada_sgd,97.25,43.38,31.65,24.19,18.66,43.03
relu_0.3_ours_adam,96.9,34.9,26.52,21.26,16.99,39.31
relu_0.3_ours_sgd,97.25,43.12,31.37,24.51,18.13,42.88
