model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,1.0,1.0,0.0,0.0
relu_0.1_ghada_sgd,0.0,0.0,0.0,1.0,8.0
relu_0.1_ours_adam,0.0,1.0,1.0,0.0,0.0
relu_0.1_ours_sgd,0.0,0.0,0.0,1.0,6.0
relu_0.2_ghada_adam,0.0,25.0,9.0,0.0,1.0
relu_0.2_ghada_sgd,0.0,333.0,238.0,238.0,256.0
relu_0.2_ours_adam,0.0,25.0,4.0,1.0,4.0
relu_0.2_ours_sgd,0.0,333.0,238.0,238.0,286.0
relu_0.3_ghada_adam,7.0,0.0,40.0,20.0,19.0
relu_0.3_ghada_sgd,350.0,396.0,412.0,325.0,338.0
relu_0.3_ours_adam,7.0,0.0,30.0,31.0,25.0
relu_0.3_ours_sgd,350.0,339.0,413.0,382.0,336.0
