model,num_tasks_seen,task,metric_type,accuracy
leaky_relu_0.2_ghada_adam,1,0,Class-IL,94.05
leaky_relu_0.2_ghada_adam,1,0,Task-IL,94.05
leaky_relu_0.2_ghada_adam,1,avg,Class-IL,94.05
leaky_relu_0.2_ghada_adam,1,avg,Task-IL,94.05
leaky_relu_0.2_ghada_adam,2,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,2,0,Task-IL,67.80000000000001
leaky_relu_0.2_ghada_adam,2,1,Class-IL,83.45
leaky_relu_0.2_ghada_adam,2,1,Task-IL,83.45
leaky_relu_0.2_ghada_adam,2,avg,Class-IL,41.72
leaky_relu_0.2_ghada_adam,2,avg,Task-IL,75.62
leaky_relu_0.2_ghada_adam,3,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,3,0,Task-IL,65.3
leaky_relu_0.2_ghada_adam,3,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,3,1,Task-IL,46.050000000000004
leaky_relu_0.2_ghada_adam,3,2,Class-IL,90.8
leaky_relu_0.2_ghada_adam,3,2,Task-IL,90.8
leaky_relu_0.2_ghada_adam,3,avg,Class-IL,30.27
leaky_relu_0.2_ghada_adam,3,avg,Task-IL,67.38
leaky_relu_0.2_ghada_adam,4,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,0,Task-IL,44.800000000000004
leaky_relu_0.2_ghada_adam,4,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,1,Task-IL,46.9
leaky_relu_0.2_ghada_adam,4,2,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,2,Task-IL,49.95
leaky_relu_0.2_ghada_adam,4,3,Class-IL,96.2
leaky_relu_0.2_ghada_adam,4,3,Task-IL,96.2
leaky_relu_0.2_ghada_adam,4,avg,Class-IL,24.05
leaky_relu_0.2_ghada_adam,4,avg,Task-IL,59.46
leaky_relu_0.2_ghada_adam,5,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,0,Task-IL,36.7
leaky_relu_0.2_ghada_adam,5,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,1,Task-IL,56.99999999999999
leaky_relu_0.2_ghada_adam,5,2,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,2,Task-IL,54.05
leaky_relu_0.2_ghada_adam,5,3,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,3,Task-IL,50.0
leaky_relu_0.2_ghada_adam,5,4,Class-IL,94.0
leaky_relu_0.2_ghada_adam,5,4,Task-IL,94.5
leaky_relu_0.2_ghada_adam,5,avg,Class-IL,18.8
leaky_relu_0.2_ghada_adam,5,avg,Task-IL,58.45
silu_0.3_ghada_adam,1,0,Class-IL,96.0
silu_0.3_ghada_adam,1,0,Task-IL,96.0
silu_0.3_ghada_adam,1,avg,Class-IL,96.0
silu_0.3_ghada_adam,1,avg,Task-IL,96.0
silu_0.3_ghada_adam,2,0,Class-IL,0.0
silu_0.3_ghada_adam,2,0,Task-IL,76.85
silu_0.3_ghada_adam,2,1,Class-IL,81.6
silu_0.3_ghada_adam,2,1,Task-IL,81.6
silu_0.3_ghada_adam,2,avg,Class-IL,40.8
silu_0.3_ghada_adam,2,avg,Task-IL,79.22
silu_0.3_ghada_adam,3,0,Class-IL,0.0
silu_0.3_ghada_adam,3,0,Task-IL,43.5
silu_0.3_ghada_adam,3,1,Class-IL,1.0
silu_0.3_ghada_adam,3,1,Task-IL,48.75
silu_0.3_ghada_adam,3,2,Class-IL,85.3
silu_0.3_ghada_adam,3,2,Task-IL,90.7
silu_0.3_ghada_adam,3,avg,Class-IL,28.77
silu_0.3_ghada_adam,3,avg,Task-IL,60.98
silu_0.3_ghada_adam,4,0,Class-IL,0.0
silu_0.3_ghada_adam,4,0,Task-IL,44.75
silu_0.3_ghada_adam,4,1,Class-IL,0.0
silu_0.3_ghada_adam,4,1,Task-IL,50.0
silu_0.3_ghada_adam,4,2,Class-IL,28.799999999999997
silu_0.3_ghada_adam,4,2,Task-IL,31.05
silu_0.3_ghada_adam,4,3,Class-IL,0.5499999999999999
silu_0.3_ghada_adam,4,3,Task-IL,96.39999999999999
silu_0.3_ghada_adam,4,avg,Class-IL,7.34
silu_0.3_ghada_adam,4,avg,Task-IL,55.55
silu_0.3_ghada_adam,5,0,Class-IL,0.0
silu_0.3_ghada_adam,5,0,Task-IL,76.3
silu_0.3_ghada_adam,5,1,Class-IL,0.0
silu_0.3_ghada_adam,5,1,Task-IL,55.800000000000004
silu_0.3_ghada_adam,5,2,Class-IL,0.0
silu_0.3_ghada_adam,5,2,Task-IL,53.449999999999996
silu_0.3_ghada_adam,5,3,Class-IL,0.15
silu_0.3_ghada_adam,5,3,Task-IL,56.99999999999999
silu_0.3_ghada_adam,5,4,Class-IL,87.64999999999999
silu_0.3_ghada_adam,5,4,Task-IL,93.10000000000001
silu_0.3_ghada_adam,5,avg,Class-IL,17.56
silu_0.3_ghada_adam,5,avg,Task-IL,67.13
silu_0.3_ours_sgd,1,0,Class-IL,95.39999999999999
silu_0.3_ours_sgd,1,0,Task-IL,95.39999999999999
silu_0.3_ours_sgd,1,avg,Class-IL,95.4
silu_0.3_ours_sgd,1,avg,Task-IL,95.4
silu_0.3_ours_sgd,2,0,Class-IL,0.0
silu_0.3_ours_sgd,2,0,Task-IL,78.60000000000001
