model,1,2,3,4,5,Average
01_baseline_sgd_relu,90.95,40.1,29.73,24.05,18.93,40.75
leaky_relu_0.2_ghada_adam,94.05,41.72,30.27,24.05,18.8,41.78
leaky_relu_0.2_ghada_sgd,90.95,40.1,29.73,24.11,18.45,40.67
leaky_relu_0.2_ours_adam,94.05,41.72,30.27,24.05,18.8,41.78
leaky_relu_0.2_ours_sgd,90.95,40.1,29.73,24.11,18.53,40.68
leaky_relu_0.3_ghada_adam,94.05,41.72,28.7,23.45,18.43,41.27
leaky_relu_0.3_ghada_sgd,90.95,37.72,29.95,23.96,18.82,40.28
leaky_relu_0.3_ours_adam,94.05,41.72,28.25,21.68,19.4,41.02
leaky_relu_0.3_ours_sgd,90.95,39.7,30.12,24.1,18.64,40.7
relu_0.2_ghada_adam,94.65,41.22,30.42,23.75,18.55,41.72
relu_0.2_ghada_sgd,93.5,35.15,29.98,23.91,18.64,40.24
relu_0.2_ours_adam,94.65,41.22,30.42,23.75,18.55,41.72
relu_0.2_ours_sgd,93.5,35.15,29.98,23.91,18.59,40.23
relu_0.3_ghada_adam,94.65,40.98,29.88,21.45,18.54,41.1
relu_0.3_ghada_sgd,93.5,35.15,29.52,23.88,18.68,40.15
relu_0.3_ours_adam,94.65,41.12,30.57,23.06,18.51,41.58
relu_0.3_ours_sgd,93.5,35.15,30.12,23.56,18.49,40.16
silu_0.2_ghada_adam,96.0,40.8,30.45,17.82,15.47,40.11
silu_0.2_ghada_sgd,95.4,35.02,30.58,24.29,18.52,40.76
silu_0.2_ours_adam,96.0,40.8,30.45,17.82,15.47,40.11
silu_0.2_ours_sgd,95.4,35.02,30.58,24.29,18.52,40.76
silu_0.3_ghada_adam,96.0,40.8,28.77,7.34,17.56,38.09
silu_0.3_ghada_sgd,95.4,36.95,30.58,24.28,18.46,41.13
silu_0.3_ours_adam,96.0,40.8,30.27,10.14,7.52,36.95
silu_0.3_ours_sgd,95.4,35.1,30.62,24.29,18.74,40.83
