model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,3.0,15.0,88.0
leaky_relu_0.2_ghada_sgd,0.0,0.0,2.0,0.0,12.0
leaky_relu_0.2_ours_adam,0.0,0.0,3.0,15.0,88.0
leaky_relu_0.2_ours_sgd,0.0,0.0,2.0,0.0,13.0
leaky_relu_0.3_ghada_adam,0.0,0.0,31.0,13.0,102.0
leaky_relu_0.3_ghada_sgd,0.0,36.0,36.0,19.0,15.0
leaky_relu_0.3_ours_adam,0.0,0.0,26.0,9.0,93.0
leaky_relu_0.3_ours_sgd,0.0,27.0,36.0,31.0,33.0
relu_0.2_ghada_adam,0.0,0.0,0.0,16.0,85.0
relu_0.2_ghada_sgd,0.0,19.0,1.0,0.0,0.0
relu_0.2_ours_adam,0.0,0.0,0.0,16.0,85.0
relu_0.2_ours_sgd,0.0,19.0,1.0,0.0,0.0
relu_0.3_ghada_adam,0.0,1.0,17.0,43.0,106.0
relu_0.3_ghada_sgd,0.0,84.0,54.0,5.0,68.0
relu_0.3_ours_adam,0.0,0.0,28.0,32.0,99.0
relu_0.3_ours_sgd,0.0,84.0,50.0,1.0,24.0
silu_0.2_ghada_adam,0.0,0.0,19.0,7.0,9.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,0.0,19.0,7.0,9.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,22.0,57.0,35.0,30.0
silu_0.3_ghada_sgd,0.0,0.0,7.0,3.0,16.0
silu_0.3_ours_adam,0.0,22.0,56.0,53.0,49.0
silu_0.3_ours_sgd,0.0,0.0,6.0,3.0,11.0
