model,1,2,3,4,5
relu_0.1_ours_adam,0.0,1.0,0.0,9.0,0.0
relu_0.1_ours_sgd,0.0,0.0,47.0,117.0,28.0
relu_0.2_ours_adam,0.0,24.0,2.0,13.0,22.0
relu_0.2_ours_sgd,0.0,333.0,189.0,316.0,228.0
relu_0.3_ours_adam,7.0,0.0,51.0,48.0,28.0
relu_0.3_ours_sgd,350.0,335.0,246.0,389.0,365.0
