model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.1_ours_adam,96.9,42.5,26.1,24.61,16.73,41.37
relu_0.1_ours_sgd,97.25,43.48,31.53,24.41,19.03,43.14
relu_0.2_ours_adam,96.9,42.5,26.13,19.78,17.13,40.49
relu_0.2_ours_sgd,97.25,44.12,31.4,24.48,18.98,43.25
relu_0.3_ours_adam,96.9,35.12,31.33,21.46,17.12,40.39
relu_0.3_ours_sgd,97.25,43.5,30.67,24.41,17.86,42.74
