model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.025_method1_adam,96.85,77.3,62.12,60.7,58.92,71.18
relu_0.025_method1_sgd,97.0,76.05,78.85,74.96,67.91,78.95
relu_0.025_method2_adam,96.85,77.25,67.33,61.84,51.06,70.87
relu_0.025_method2_sgd,97.0,76.28,80.83,77.2,72.5,80.76
relu_0.05_method1_adam,96.85,71.2,60.4,60.26,61.01,69.94
relu_0.05_method1_sgd,97.0,76.7,79.93,67.16,53.19,74.8
relu_0.05_method2_adam,96.85,78.7,63.57,62.06,50.18,70.27
relu_0.05_method2_sgd,97.0,74.12,80.02,72.45,71.61,79.04
relu_0.1_method1_adam,96.85,78.82,62.63,61.64,55.56,71.1
relu_0.1_method1_sgd,97.0,76.82,78.25,73.3,62.19,77.51
relu_0.1_method2_adam,96.85,80.12,60.92,59.25,52.12,69.85
relu_0.1_method2_sgd,97.0,71.97,79.4,70.45,61.19,76.0
