model,1,2,3,4,5
relu_0.025_method1_adam,1.0,4.0,51.0,53.0,256.0
relu_0.025_method1_sgd,8.0,5.0,1.0,2.0,2.0
relu_0.025_method2_adam,1.0,4.0,41.0,112.0,271.0
relu_0.025_method2_sgd,8.0,5.0,1.0,9.0,10.0
relu_0.05_method1_adam,4.0,12.0,87.0,250.0,353.0
relu_0.05_method1_sgd,42.0,22.0,6.0,15.0,11.0
relu_0.05_method2_adam,4.0,12.0,95.0,273.0,363.0
relu_0.05_method2_sgd,42.0,22.0,8.0,32.0,62.0
relu_0.1_method1_adam,15.0,35.0,219.0,330.0,413.0
relu_0.1_method1_sgd,187.0,99.0,65.0,102.0,88.0
relu_0.1_method2_adam,15.0,35.0,237.0,320.0,400.0
relu_0.1_method2_sgd,187.0,99.0,70.0,88.0,89.0
