model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.025_method1_adam,96.85,42.6,30.83,23.79,19.35,42.68
relu_0.025_method1_sgd,97.0,43.2,30.78,24.39,19.34,42.94
relu_0.025_method2_adam,96.85,43.12,31.1,23.06,17.88,42.4
relu_0.025_method2_sgd,97.0,43.58,31.47,24.32,19.46,43.17
relu_0.05_method1_adam,96.85,44.55,22.65,24.44,17.29,41.16
relu_0.05_method1_sgd,97.0,43.62,31.42,24.6,19.3,43.19
relu_0.05_method2_adam,96.85,43.97,29.97,24.34,11.91,41.41
relu_0.05_method2_sgd,97.0,43.8,31.02,24.41,19.4,43.13
relu_0.1_method1_adam,96.85,43.78,30.48,27.6,13.82,42.51
relu_0.1_method1_sgd,97.0,43.22,31.32,24.58,19.2,43.06
relu_0.1_method2_adam,96.85,43.95,30.5,21.51,19.36,42.43
relu_0.1_method2_sgd,97.0,42.75,30.7,24.52,19.27,42.85
