model,1,2,3,4,5,Average
01_baseline_sgd_relu,89.1,36.68,29.18,23.98,18.37,39.46
leaky_relu_0.2_ghada_adam,90.5,38.85,29.22,12.54,18.66,37.95
leaky_relu_0.2_ghada_sgd,89.1,36.68,29.27,23.0,17.71,39.15
leaky_relu_0.2_ours_adam,90.5,38.85,29.22,12.54,18.66,37.95
leaky_relu_0.2_ours_sgd,89.1,36.68,29.27,22.75,17.95,39.15
leaky_relu_0.3_ghada_adam,90.5,38.8,29.28,23.5,18.83,40.18
leaky_relu_0.3_ghada_sgd,89.1,38.72,28.73,23.94,18.15,39.73
leaky_relu_0.3_ours_adam,90.5,39.05,29.65,21.96,18.54,39.94
leaky_relu_0.3_ours_sgd,89.1,36.22,29.87,24.0,18.57,39.55
relu_0.2_ghada_adam,93.85,37.28,29.13,24.0,18.77,40.61
relu_0.2_ghada_sgd,87.45,39.83,28.57,23.75,18.62,39.64
relu_0.2_ours_adam,93.85,37.28,29.13,24.0,18.77,40.61
relu_0.2_ours_sgd,87.45,39.83,28.57,23.75,18.62,39.64
relu_0.3_ghada_adam,93.85,39.1,29.23,21.79,18.34,40.46
relu_0.3_ghada_sgd,87.45,39.48,29.77,24.18,18.47,39.87
relu_0.3_ours_adam,93.85,39.17,23.57,23.84,18.12,39.71
relu_0.3_ours_sgd,87.45,39.57,28.58,24.06,18.55,39.64
silu_0.2_ghada_adam,90.95,40.83,30.38,11.99,18.94,38.62
silu_0.2_ghada_sgd,94.55,41.68,29.92,24.44,18.7,41.86
silu_0.2_ours_adam,90.95,40.83,30.38,11.99,18.94,38.62
silu_0.2_ours_sgd,94.55,41.68,29.92,24.44,18.7,41.86
silu_0.3_ghada_adam,90.95,40.83,30.4,19.51,18.87,40.11
silu_0.3_ghada_sgd,94.55,41.35,30.32,24.39,18.59,41.84
silu_0.3_ours_adam,90.95,40.85,30.55,23.86,18.44,40.93
silu_0.3_ours_sgd,94.55,41.7,29.95,24.36,18.75,41.86
