model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,19.0,27.0,106.0
leaky_relu_0.2_ghada_sgd,0.0,4.0,0.0,2.0,15.0
leaky_relu_0.2_ours_adam,0.0,0.0,19.0,27.0,106.0
leaky_relu_0.2_ours_sgd,0.0,4.0,0.0,2.0,5.0
leaky_relu_0.3_ghada_adam,0.0,18.0,57.0,38.0,109.0
leaky_relu_0.3_ghada_sgd,0.0,48.0,24.0,17.0,53.0
leaky_relu_0.3_ours_adam,0.0,21.0,59.0,42.0,104.0
leaky_relu_0.3_ours_sgd,0.0,48.0,49.0,12.0,51.0
relu_0.2_ghada_adam,0.0,0.0,8.0,0.0,100.0
relu_0.2_ghada_sgd,0.0,0.0,0.0,1.0,2.0
relu_0.2_ours_adam,0.0,0.0,8.0,0.0,100.0
relu_0.2_ours_sgd,0.0,0.0,0.0,1.0,2.0
relu_0.3_ghada_adam,0.0,13.0,26.0,69.0,120.0
relu_0.3_ghada_sgd,0.0,45.0,37.0,41.0,41.0
relu_0.3_ours_adam,0.0,13.0,6.0,59.0,108.0
relu_0.3_ours_sgd,0.0,46.0,7.0,31.0,31.0
silu_0.2_ghada_adam,0.0,1.0,27.0,24.0,27.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,1.0,27.0,24.0,27.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,49.0,64.0,49.0,43.0
silu_0.3_ghada_sgd,0.0,0.0,12.0,14.0,14.0
silu_0.3_ours_adam,0.0,49.0,62.0,67.0,58.0
silu_0.3_ours_sgd,0.0,0.0,12.0,12.0,14.0
