model,1,2,3,4,5,Average
01_baseline_sgd_relu,89.1,71.85,71.83,71.86,62.62,73.45
leaky_relu_0.2_ghada_adam,90.5,57.68,62.9,50.24,59.66,64.2
leaky_relu_0.2_ghada_sgd,89.1,71.85,71.98,73.47,62.2,73.72
leaky_relu_0.2_ours_adam,90.5,57.68,62.9,50.24,59.66,64.2
leaky_relu_0.2_ours_sgd,89.1,71.85,71.98,73.61,65.04,74.32
leaky_relu_0.3_ghada_adam,90.5,58.73,66.08,60.15,54.44,65.98
leaky_relu_0.3_ghada_sgd,89.1,74.8,69.37,68.76,67.83,73.97
leaky_relu_0.3_ours_adam,90.5,57.05,64.23,60.95,51.6,64.87
leaky_relu_0.3_ours_sgd,89.1,73.03,67.97,63.45,64.03,71.52
relu_0.2_ghada_adam,93.85,54.43,66.83,61.62,51.45,65.64
relu_0.2_ghada_sgd,87.45,77.9,70.8,65.5,68.5,74.03
relu_0.2_ours_adam,93.85,54.43,66.83,61.62,51.45,65.64
relu_0.2_ours_sgd,87.45,77.9,70.8,65.5,68.5,74.03
relu_0.3_ghada_adam,93.85,61.62,66.15,59.56,51.59,66.55
relu_0.3_ghada_sgd,87.45,76.62,74.85,75.05,71.64,77.12
relu_0.3_ours_adam,93.85,61.38,62.92,61.18,50.75,66.02
relu_0.3_ours_sgd,87.45,77.22,69.1,71.51,70.6,75.18
silu_0.2_ghada_adam,90.95,64.97,59.92,61.29,59.1,67.25
silu_0.2_ghada_sgd,94.55,80.82,72.52,74.88,73.73,79.3
silu_0.2_ours_adam,90.95,64.97,59.92,61.29,59.1,67.25
silu_0.2_ours_sgd,94.55,80.82,72.52,74.88,73.73,79.3
silu_0.3_ghada_adam,90.95,62.82,64.37,61.89,62.22,68.45
silu_0.3_ghada_sgd,94.55,80.05,75.27,76.05,74.44,80.07
silu_0.3_ours_adam,90.95,62.8,61.13,61.6,57.29,66.75
silu_0.3_ours_sgd,94.55,80.35,72.88,75.11,75.12,79.6
