model,1,2,3,4,5
relu_0.025_method1_adam,1.0,1.0,42.0,125.0,400.0
relu_0.025_method1_sgd,5.0,5.0,4.0,3.0,2.0
relu_0.025_method2_adam,1.0,1.0,26.0,232.0,277.0
relu_0.025_method2_sgd,5.0,5.0,4.0,3.0,2.0
relu_0.05_method1_adam,3.0,6.0,84.0,222.0,430.0
relu_0.05_method1_sgd,24.0,21.0,50.0,21.0,2.0
relu_0.05_method2_adam,3.0,6.0,75.0,298.0,368.0
relu_0.05_method2_sgd,24.0,21.0,50.0,21.0,39.0
relu_0.1_method1_adam,17.0,40.0,180.0,390.0,409.0
relu_0.1_method1_sgd,102.0,105.0,66.0,82.0,68.0
relu_0.1_method2_adam,17.0,40.0,179.0,345.0,435.0
relu_0.1_method2_sgd,102.0,105.0,66.0,76.0,80.0
