model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.025_method1_adam,98.0,61.8,61.35,68.64,68.89,71.74
relu_0.025_method1_sgd,97.1,78.58,77.8,64.71,72.73,78.18
relu_0.025_method2_adam,98.0,63.68,61.38,62.52,50.21,67.16
relu_0.025_method2_sgd,97.1,78.58,77.8,63.74,71.47,77.74
relu_0.05_method1_adam,98.0,58.38,56.53,62.5,52.26,65.53
relu_0.05_method1_sgd,97.1,78.3,78.07,66.99,61.67,76.43
relu_0.05_method2_adam,98.0,61.6,57.75,65.61,57.66,68.12
relu_0.05_method2_sgd,97.1,78.3,78.07,66.3,70.83,78.12
relu_0.1_method1_adam,98.0,65.25,56.6,56.52,60.31,67.34
relu_0.1_method1_sgd,97.1,77.82,80.0,67.16,70.28,78.47
relu_0.1_method2_adam,98.0,56.8,60.18,67.36,54.46,67.36
relu_0.1_method2_sgd,97.1,77.82,80.6,64.91,70.83,78.25
