layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer3,0,1,1.0,1,1,1
layer4,0,1,0.975609756097561,41,45,40
layer3,0,2,1.0,1,1,1
layer4,0,2,0.9743589743589743,39,46,38
layer4,1,0,0.7,10,47,7
layer3,1,1,1.0,1,1,1
layer4,1,1,1.0,10,50,10
layer3,1,2,1.0,1,1,1
layer4,1,2,1.0,9,50,9
layer3,2,0,1.0,1,1,1
layer4,2,0,0.8571428571428571,7,50,6
layer4,2,1,1.0,4,51,4
layer4,2,2,0.7142857142857143,7,51,5
layer4,3,0,0.6666666666666666,3,53,2
layer4,3,1,1.0,2,54,2
layer3,3,2,0.0,1,1,0
layer4,3,2,1.0,1,54,1
layer3,4,0,1.0,1,2,1
layer3,4,1,1.0,1,2,1
layer4,4,1,0.0,1,54,0
layer3,4,2,1.0,1,2,1
