layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,0,1,0.9827586206896551,58,66,57
layer4,0,2,1.0,53,67,53
layer4,0,3,1.0,51,67,51
layer4,0,4,1.0,48,67,48
layer4,0,5,1.0,42,67,42
layer4,0,6,1.0,45,67,45
layer4,0,7,1.0,37,67,37
layer4,0,8,1.0,39,67,39
layer4,0,9,1.0,42,67,42
layer4,0,10,1.0,36,67,36
layer4,0,11,1.0,37,67,37
layer4,0,12,1.0,34,67,34
layer4,0,13,1.0,37,67,37
layer4,0,14,1.0,33,67,33
layer4,0,15,1.0,35,67,35
layer4,0,16,1.0,36,67,36
layer4,0,17,1.0,35,67,35
layer4,0,18,1.0,32,67,32
layer4,0,19,1.0,37,67,37
layer4,1,0,0.42857142857142855,49,67,21
layer4,1,1,0.8571428571428571,49,95,42
layer4,1,2,0.9433962264150944,53,102,50
layer4,1,3,0.9545454545454546,44,105,42
layer4,1,4,1.0,42,107,42
layer4,1,5,0.9777777777777777,45,107,44
layer4,1,6,1.0,42,108,42
layer4,1,7,1.0,50,108,50
layer4,1,8,1.0,46,108,46
layer4,1,9,0.9772727272727273,44,108,43
layer4,1,10,1.0,41,109,41
layer4,1,11,1.0,41,109,41
layer4,1,12,0.9772727272727273,44,109,43
layer4,1,13,1.0,48,110,48
layer4,1,14,0.972972972972973,37,110,36
layer4,1,15,1.0,35,111,35
layer4,1,16,1.0,40,111,40
layer4,1,17,1.0,37,111,37
layer4,1,18,1.0,35,111,35
layer4,1,19,1.0,41,111,41
layer4,2,0,0.75,28,111,21
layer4,2,1,0.9629629629629629,27,118,26
layer4,2,2,0.9615384615384616,26,119,25
layer4,2,3,1.0,16,120,16
layer4,2,4,1.0,23,120,23
layer4,2,5,1.0,17,120,17
layer4,2,6,1.0,17,120,17
layer4,2,7,1.0,14,120,14
layer4,2,8,1.0,17,120,17
layer4,2,9,1.0,15,120,15
layer4,2,10,1.0,13,120,13
layer4,2,11,1.0,12,120,12
layer4,2,12,1.0,11,120,11
layer4,2,13,1.0,12,120,12
layer4,2,14,1.0,13,120,13
layer4,2,15,1.0,11,120,11
layer4,2,16,1.0,13,120,13
layer4,2,17,1.0,14,120,14
layer4,2,18,1.0,22,120,22
layer4,2,19,1.0,15,120,15
layer4,3,0,0.6956521739130435,23,120,16
layer4,3,1,0.9411764705882353,17,127,16
layer4,3,2,1.0,16,128,16
layer4,3,3,1.0,11,128,11
layer4,3,4,0.9230769230769231,13,128,12
layer4,3,5,1.0,9,129,9
layer4,3,6,1.0,12,129,12
layer4,3,7,1.0,4,129,4
layer4,3,8,1.0,2,129,2
layer4,3,9,0.8333333333333334,6,129,5
layer4,3,10,1.0,4,130,4
layer4,3,11,1.0,6,130,6
layer4,3,12,1.0,5,130,5
layer4,3,13,1.0,9,130,9
layer4,3,14,1.0,9,130,9
layer4,3,15,1.0,8,130,8
layer4,3,16,1.0,4,130,4
layer4,3,17,1.0,8,130,8
layer4,3,18,1.0,4,130,4
layer4,3,19,1.0,4,130,4
layer3,4,0,0.0,1,1,0
layer4,4,0,0.84,25,130,21
layer4,4,1,0.9166666666666666,24,134,22
layer4,4,2,0.9047619047619048,21,136,19
layer4,4,3,1.0,19,138,19
layer4,4,4,0.9565217391304348,23,138,22
layer4,4,5,1.0,19,139,19
layer4,4,6,1.0,18,139,18
layer4,4,7,1.0,15,139,15
layer4,4,8,1.0,9,139,9
layer4,4,9,1.0,9,139,9
layer4,4,10,0.9333333333333333,15,139,14
layer4,4,11,1.0,10,140,10
layer4,4,12,1.0,10,140,10
layer4,4,13,1.0,10,140,10
layer4,4,14,1.0,10,140,10
layer4,4,15,1.0,14,140,14
layer4,4,16,1.0,10,140,10
layer4,4,17,1.0,8,140,8
layer4,4,18,1.0,8,140,8
layer4,4,19,1.0,12,140,12
