model,num_tasks_seen,task,metric_type,accuracy
relu_0.3_ours_adam,1,0,Class-IL,94.65
relu_0.3_ours_adam,1,0,Task-IL,94.65
relu_0.3_ours_adam,1,avg,Class-IL,94.65
relu_0.3_ours_adam,1,avg,Task-IL,94.65
relu_0.3_ours_adam,2,0,Class-IL,0.0
relu_0.3_ours_adam,2,0,Task-IL,55.2
relu_0.3_ours_adam,2,1,Class-IL,83.05
relu_0.3_ours_adam,2,1,Task-IL,83.05
relu_0.3_ours_adam,2,avg,Class-IL,41.52
relu_0.3_ours_adam,2,avg,Task-IL,69.12
relu_0.3_ours_adam,3,0,Class-IL,0.0
relu_0.3_ours_adam,3,0,Task-IL,50.449999999999996
relu_0.3_ours_adam,3,1,Class-IL,0.0
relu_0.3_ours_adam,3,1,Task-IL,43.0
relu_0.3_ours_adam,3,2,Class-IL,91.0
relu_0.3_ours_adam,3,2,Task-IL,91.0
relu_0.3_ours_adam,3,avg,Class-IL,30.33
relu_0.3_ours_adam,3,avg,Task-IL,61.48
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,48.199999999999996
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,52.849999999999994
relu_0.3_ours_adam,4,2,Class-IL,0.0
relu_0.3_ours_adam,4,2,Task-IL,50.0
relu_0.3_ours_adam,4,3,Class-IL,90.35
relu_0.3_ours_adam,4,3,Task-IL,90.35
relu_0.3_ours_adam,4,avg,Class-IL,22.59
relu_0.3_ours_adam,4,avg,Task-IL,60.35
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,54.05
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,50.14999999999999
relu_0.3_ours_adam,5,2,Class-IL,0.0
relu_0.3_ours_adam,5,2,Task-IL,50.24999999999999
relu_0.3_ours_adam,5,3,Class-IL,0.0
relu_0.3_ours_adam,5,3,Task-IL,50.0
relu_0.3_ours_adam,5,4,Class-IL,93.45
relu_0.3_ours_adam,5,4,Task-IL,94.19999999999999
relu_0.3_ours_adam,5,avg,Class-IL,18.69
relu_0.3_ours_adam,5,avg,Task-IL,59.73
leaky_relu_0.2_ours_adam,1,0,Class-IL,94.05
leaky_relu_0.2_ours_adam,1,0,Task-IL,94.05
leaky_relu_0.2_ours_adam,1,avg,Class-IL,94.05
leaky_relu_0.2_ours_adam,1,avg,Task-IL,94.05
leaky_relu_0.2_ours_adam,2,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,2,0,Task-IL,67.80000000000001
leaky_relu_0.2_ours_adam,2,1,Class-IL,83.45
leaky_relu_0.2_ours_adam,2,1,Task-IL,83.45
leaky_relu_0.2_ours_adam,2,avg,Class-IL,41.72
leaky_relu_0.2_ours_adam,2,avg,Task-IL,75.62
leaky_relu_0.2_ours_adam,3,0,Class-IL,0.0
