layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,0,2,0.0,1,1,0
conv1,0,5,1.0,4,2,2
conv1,0,6,1.0,4,4,4
conv1,0,7,1.0,3,4,3
conv1,0,8,1.0,5,4,4
conv1,0,9,1.0,5,5,5
conv1,1,0,0.6,5,5,3
conv1,1,1,1.0,5,7,5
layer4,1,1,1.0,2,2,2
conv1,1,2,1.0,5,7,5
layer4,1,2,1.0,1,2,1
conv1,1,3,0.8333333333333334,6,7,5
conv1,1,4,1.0,4,8,4
conv1,1,5,1.0,6,8,6
conv1,1,6,1.0,6,8,6
conv1,1,7,1.0,5,8,5
conv1,1,8,1.0,5,8,5
conv1,1,9,1.0,5,8,5
conv1,2,0,0.8333333333333334,6,8,5
layer4,2,0,0.5,92,2,1
conv1,2,1,1.0,6,9,6
layer4,2,1,1.0,39,93,39
conv1,2,2,1.0,6,9,6
layer4,2,2,1.0,24,93,24
conv1,2,3,0.875,8,9,7
layer4,2,3,1.0,27,93,27
conv1,2,4,1.0,7,10,7
layer4,2,4,1.0,13,93,13
conv1,2,5,1.0,7,10,7
layer4,2,5,1.0,27,93,27
conv1,2,6,1.0,7,10,7
layer4,2,6,1.0,31,93,31
conv1,2,7,1.0,5,10,5
layer4,2,7,1.0,10,93,10
conv1,2,8,1.0,6,10,6
layer4,2,8,1.0,8,93,8
conv1,2,9,0.875,8,10,7
layer4,2,9,1.0,8,93,8
conv1,3,0,1.0,7,11,7
layer4,3,0,0.7204301075268817,118,93,67
conv1,3,1,1.0,7,11,7
layer3,3,1,1.0,2,3,2
layer4,3,1,1.0,111,144,111
conv1,3,2,1.0,7,11,7
layer3,3,2,1.0,2,3,2
layer4,3,2,1.0,111,144,111
conv1,3,3,1.0,7,11,7
layer3,3,3,1.0,2,3,2
layer4,3,3,1.0,105,144,105
conv1,3,4,1.0,7,11,7
layer3,3,4,1.0,2,3,2
layer4,3,4,1.0,95,144,95
conv1,3,5,1.0,7,11,7
layer3,3,5,1.0,1,3,1
layer4,3,5,1.0,98,144,98
conv1,3,6,1.0,7,11,7
layer4,3,6,1.0,88,144,88
conv1,3,7,1.0,8,11,8
layer3,3,7,1.0,1,3,1
layer4,3,7,1.0,88,144,88
conv1,3,8,1.0,8,11,8
layer4,3,8,1.0,75,144,75
conv1,3,9,1.0,9,11,9
layer3,3,9,1.0,1,3,1
layer4,3,9,1.0,79,144,79
conv1,4,0,1.0,7,11,7
layer3,4,0,1.0,14,3,3
layer4,4,0,0.9513888888888888,151,144,137
conv1,4,1,1.0,8,11,8
layer3,4,1,1.0,9,14,9
layer4,4,1,1.0,137,158,137
conv1,4,2,1.0,8,11,8
layer3,4,2,1.0,3,14,3
layer4,4,2,1.0,132,158,132
conv1,4,3,1.0,9,11,9
layer3,4,3,1.0,3,14,3
layer4,4,3,1.0,126,158,126
conv1,4,4,1.0,9,11,9
layer3,4,4,1.0,3,14,3
layer4,4,4,1.0,124,158,124
conv1,4,5,1.0,9,11,9
layer3,4,5,1.0,3,14,3
layer4,4,5,1.0,126,158,126
conv1,4,6,1.0,9,11,9
layer3,4,6,1.0,2,14,2
layer4,4,6,1.0,127,158,127
conv1,4,7,1.0,9,11,9
layer3,4,7,1.0,3,14,3
layer4,4,7,1.0,124,158,124
conv1,4,8,1.0,9,11,9
layer3,4,8,1.0,3,14,3
layer4,4,8,1.0,114,158,114
conv1,4,9,1.0,9,11,9
layer3,4,9,1.0,1,14,1
layer4,4,9,1.0,116,158,116
layer4,1,7,0.0,1,1,0
layer4,2,0,0.0,191,2,0
layer4,2,1,1.0,135,193,135
layer4,2,2,0.9815950920245399,163,193,160
layer4,2,3,0.9862068965517241,145,196,143
layer4,2,4,0.9736842105263158,152,198,148
layer4,2,5,1.0,126,202,126
conv1,2,6,1.0,1,1,1
layer4,2,6,0.9190751445086706,173,202,159
layer4,2,7,0.9921259842519685,127,216,126
layer4,2,8,1.0,124,217,124
layer4,2,9,1.0,91,217,91
layer4,3,0,0.7695852534562212,343,217,167
layer4,3,1,1.0,289,393,289
layer4,3,2,0.996742671009772,307,393,306
layer4,3,3,0.9967320261437909,306,394,305
layer4,3,4,1.0,279,395,279
layer4,3,5,1.0,229,395,229
layer4,3,6,1.0,170,395,170
layer4,3,7,1.0,99,395,99
layer4,3,8,1.0,133,395,133
layer4,3,9,1.0,115,395,115
conv1,4,0,0.0,2,1,0
layer4,4,0,0.8632911392405064,435,395,341
conv1,4,1,1.0,2,3,2
layer4,4,1,1.0,410,489,410
conv1,4,2,1.0,2,3,2
layer4,4,2,1.0,361,489,361
conv1,4,3,1.0,2,3,2
layer4,4,3,1.0,363,489,363
conv1,4,4,1.0,2,3,2
layer4,4,4,1.0,383,489,383
conv1,4,5,1.0,2,3,2
layer4,4,5,1.0,370,489,370
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,278,489,278
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,319,489,319
conv1,4,8,1.0,2,3,2
layer4,4,8,1.0,328,489,328
conv1,4,9,1.0,2,3,2
layer4,4,9,1.0,271,489,271
conv1,0,1,0.9807692307692307,52,55,51
layer1,0,1,0.9433962264150944,53,55,50
layer2,0,1,0.9918032786885246,122,123,121
layer3,0,1,1.0,235,248,235
layer4,0,1,1.0,453,477,453
