model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.025_method1_sgd,97.0,76.97,69.0,65.65,58.66,73.46
relu_0.025_method2_sgd,97.0,76.97,69.0,65.65,58.66,73.46
relu_0.05_method1_sgd,97.0,75.2,71.42,66.96,57.99,73.71
relu_0.05_method2_sgd,97.0,75.2,71.42,66.96,57.99,73.71
relu_0.1_method1_sgd,97.0,74.0,65.37,58.41,68.94,72.74
relu_0.1_method2_sgd,97.0,74.0,65.37,58.41,68.94,72.74
