model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.025_method1_sgd,97.0,41.7,31.47,24.36,19.28,42.76
relu_0.025_method2_sgd,97.0,41.7,31.47,24.36,19.28,42.76
relu_0.05_method1_sgd,97.0,42.38,31.22,24.44,19.1,42.83
relu_0.05_method2_sgd,97.0,42.38,31.22,24.44,19.1,42.83
relu_0.1_method1_sgd,97.0,41.95,30.63,24.09,19.13,42.56
relu_0.1_method2_sgd,97.0,41.95,30.63,24.09,19.13,42.56
