model,1,2,3,4,5
relu_0.025_method1_sgd,8.0,10.0,10.0,19.0,20.0
relu_0.025_method2_sgd,8.0,10.0,10.0,19.0,20.0
relu_0.05_method1_sgd,42.0,48.0,21.0,37.0,24.0
relu_0.05_method2_sgd,42.0,48.0,21.0,37.0,24.0
relu_0.1_method1_sgd,187.0,95.0,53.0,148.0,232.0
relu_0.1_method2_sgd,187.0,95.0,53.0,148.0,232.0
