model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_method1_adam,96.85,75.97,64.65,60.68,56.7,70.97
relu_0.1_method1_sgd,97.0,75.48,80.0,60.58,50.91,72.79
relu_0.1_method2_adam,96.85,75.97,64.65,60.68,56.7,70.97
relu_0.1_method2_sgd,97.0,75.48,80.0,60.58,50.91,72.79
relu_0.2_method1_adam,96.85,75.97,61.68,56.41,57.39,69.66
relu_0.2_method1_sgd,97.0,63.45,68.2,58.71,60.0,69.47
relu_0.2_method2_adam,96.85,75.97,61.28,56.8,57.97,69.77
relu_0.2_method2_sgd,97.0,63.45,68.82,61.04,64.89,71.04
relu_0.3_method1_adam,96.85,70.42,65.02,57.98,64.76,71.01
relu_0.3_method1_sgd,97.0,72.3,61.77,64.11,58.43,70.72
relu_0.3_method2_adam,96.85,70.1,63.77,57.21,57.93,69.17
relu_0.3_method2_sgd,97.0,75.85,64.03,58.91,57.96,70.75
