model,1,2,3,4,5
relu_0.1_method1_adam,0.0,0.0,0.0,0.0,0.0
relu_0.1_method1_sgd,0.0,0.0,6.0,9.0,37.0
relu_0.1_method2_adam,0.0,0.0,0.0,0.0,0.0
relu_0.1_method2_sgd,0.0,0.0,6.0,9.0,37.0
relu_0.2_method1_adam,0.0,9.0,17.0,5.0,18.0
relu_0.2_method1_sgd,20.0,192.0,0.0,113.0,55.0
relu_0.2_method2_adam,0.0,9.0,17.0,12.0,19.0
relu_0.2_method2_sgd,20.0,192.0,39.0,56.0,49.0
relu_0.3_method1_adam,2.0,0.0,101.0,71.0,33.0
relu_0.3_method1_sgd,391.0,457.0,364.0,261.0,345.0
relu_0.3_method2_adam,2.0,0.0,80.0,38.0,55.0
relu_0.3_method2_sgd,391.0,319.0,361.0,192.0,285.0
