model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_method1_adam,96.85,44.05,26.65,19.19,17.22,40.79
relu_0.1_method1_sgd,97.0,43.53,31.03,24.5,19.45,43.1
relu_0.1_method2_adam,96.85,44.05,26.65,19.19,17.22,40.79
relu_0.1_method2_sgd,97.0,43.53,31.03,24.5,19.45,43.1
relu_0.2_method1_adam,96.85,44.05,26.27,18.98,17.12,40.65
relu_0.2_method1_sgd,97.0,44.25,31.42,24.36,18.98,43.2
relu_0.2_method2_adam,96.85,44.05,26.65,18.98,17.11,40.73
relu_0.2_method2_sgd,97.0,44.25,31.22,24.59,19.37,43.29
relu_0.3_method1_adam,96.85,36.75,31.22,21.4,17.21,40.69
relu_0.3_method1_sgd,97.0,42.52,31.1,24.11,19.25,42.8
relu_0.3_method2_adam,96.85,36.8,31.52,20.8,17.35,40.66
relu_0.3_method2_sgd,97.0,43.7,30.93,24.62,19.2,43.09
