model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_method1_adam,98.0,64.4,60.77,62.99,55.03,68.24
relu_0.1_method1_sgd,97.1,77.12,78.12,64.69,73.95,78.2
relu_0.1_method2_adam,98.0,64.4,60.77,63.2,51.96,67.67
relu_0.1_method2_sgd,97.1,77.12,78.12,64.69,73.19,78.04
relu_0.2_method1_adam,98.0,64.4,60.67,65.32,52.99,68.28
relu_0.2_method1_sgd,97.1,77.15,75.23,65.99,62.98,75.69
relu_0.2_method2_adam,98.0,64.4,63.73,60.66,68.5,71.06
relu_0.2_method2_sgd,97.1,77.15,74.3,66.09,69.02,76.73
relu_0.3_method1_adam,98.0,70.9,64.52,63.65,61.23,71.66
relu_0.3_method1_sgd,97.1,80.0,77.47,63.88,65.94,76.88
relu_0.3_method2_adam,98.0,63.52,66.85,63.46,53.88,69.14
relu_0.3_method2_sgd,97.1,78.53,72.93,69.05,60.71,75.66
