model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,141.0,326.0,423.0
relu_0.1_method1_sgd,0.0,2.0,28.0,2.0,1.0
relu_0.1_method2_adam,0.0,1.0,141.0,209.0,422.0
relu_0.1_method2_sgd,0.0,2.0,28.0,2.0,2.0
relu_0.2_method1_adam,0.0,42.0,269.0,379.0,461.0
relu_0.2_method1_sgd,26.0,304.0,191.0,75.0,299.0
relu_0.2_method2_adam,0.0,42.0,272.0,306.0,454.0
relu_0.2_method2_sgd,26.0,304.0,200.0,84.0,222.0
relu_0.3_method1_adam,2.0,136.0,335.0,437.0,467.0
relu_0.3_method1_sgd,384.0,490.0,452.0,397.0,352.0
relu_0.3_method2_adam,2.0,192.0,352.0,430.0,461.0
relu_0.3_method2_sgd,384.0,485.0,369.0,377.0,401.0
