model,1,2,3,4,5,Average
01_baseline_sgd_relu,66.7,68.97,77.82,68.24,62.36,68.82
leaky_relu_0.2_ghada_adam,93.2,66.5,66.5,64.97,62.01,70.64
leaky_relu_0.2_ghada_sgd,66.7,68.97,77.82,68.68,60.04,68.44
leaky_relu_0.2_ours_adam,93.2,66.5,66.5,64.97,62.01,70.64
leaky_relu_0.2_ours_sgd,66.7,68.97,77.82,68.3,63.19,69.0
leaky_relu_0.3_ghada_adam,93.2,65.92,67.3,61.22,57.79,69.09
leaky_relu_0.3_ghada_sgd,66.7,69.9,77.5,69.79,63.38,69.45
leaky_relu_0.3_ours_adam,93.2,67.28,65.0,62.86,64.66,70.6
leaky_relu_0.3_ours_sgd,66.7,69.9,77.5,69.04,63.46,69.32
relu_0.2_ghada_adam,91.9,64.78,60.95,61.8,64.22,68.73
relu_0.2_ghada_sgd,83.2,71.3,77.37,66.88,72.16,74.18
relu_0.2_ours_adam,91.9,64.78,60.95,61.8,64.22,68.73
relu_0.2_ours_sgd,83.2,71.3,77.37,66.88,72.16,74.18
relu_0.3_ghada_adam,91.9,54.68,59.2,61.61,60.6,65.6
relu_0.3_ghada_sgd,83.2,71.2,74.42,66.86,71.71,73.48
relu_0.3_ours_adam,91.9,54.68,54.7,56.61,58.91,63.36
relu_0.3_ours_sgd,83.2,71.5,76.48,65.25,70.76,73.44
silu_0.2_ghada_adam,94.8,65.55,60.42,65.65,57.44,68.77
silu_0.2_ghada_sgd,68.85,72.8,77.17,70.01,75.1,72.79
silu_0.2_ours_adam,94.8,65.55,60.42,65.65,57.44,68.77
silu_0.2_ours_sgd,68.85,72.8,77.17,70.01,75.1,72.79
silu_0.3_ghada_adam,94.8,66.0,61.13,66.11,53.13,68.23
silu_0.3_ghada_sgd,68.85,72.8,75.7,70.21,74.2,72.35
silu_0.3_ours_adam,94.8,66.0,61.13,66.08,62.77,70.16
silu_0.3_ours_sgd,68.85,72.8,76.83,70.11,75.6,72.84
