model,1,2,3,4,5,Average
01_baseline_sgd_relu,66.7,34.85,30.03,23.69,18.74,34.8
leaky_relu_0.2_ghada_adam,93.2,42.1,28.33,23.66,18.73,41.2
leaky_relu_0.2_ghada_sgd,66.7,34.85,30.03,23.41,18.67,34.73
leaky_relu_0.2_ours_adam,93.2,42.1,28.33,23.66,18.73,41.2
leaky_relu_0.2_ours_sgd,66.7,34.85,30.03,23.76,18.86,34.84
leaky_relu_0.3_ghada_adam,93.2,40.67,30.15,23.82,18.01,41.17
leaky_relu_0.3_ghada_sgd,66.7,35.0,29.78,23.85,18.78,34.82
leaky_relu_0.3_ours_adam,93.2,41.22,29.95,23.51,16.09,40.79
leaky_relu_0.3_ours_sgd,66.7,35.0,29.78,23.76,18.56,34.76
relu_0.2_ghada_adam,91.9,41.25,30.22,23.25,18.39,41.0
relu_0.2_ghada_sgd,83.2,39.5,30.18,24.0,18.21,39.02
relu_0.2_ours_adam,91.9,41.25,30.22,23.25,18.39,41.0
relu_0.2_ours_sgd,83.2,39.5,30.18,24.0,18.21,39.02
relu_0.3_ghada_adam,91.9,37.33,30.2,21.38,17.94,39.75
relu_0.3_ghada_sgd,83.2,39.22,29.77,23.86,18.66,38.94
relu_0.3_ours_adam,91.9,37.33,30.43,18.06,18.78,39.3
relu_0.3_ours_sgd,83.2,39.48,30.13,23.71,18.8,39.06
silu_0.2_ghada_adam,94.8,41.8,30.27,23.65,19.02,41.91
silu_0.2_ghada_sgd,68.85,41.1,30.33,23.98,19.18,36.69
silu_0.2_ours_adam,94.8,41.8,30.27,23.65,19.02,41.91
silu_0.2_ours_sgd,68.85,41.1,30.33,23.98,19.18,36.69
silu_0.3_ghada_adam,94.8,40.98,29.98,23.55,18.42,41.55
silu_0.3_ghada_sgd,68.85,41.1,29.92,23.9,19.08,36.57
silu_0.3_ours_adam,94.8,40.98,29.98,23.68,18.8,41.65
silu_0.3_ours_sgd,68.85,41.1,30.28,24.0,19.16,36.68
