model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,0.0,6.0,78.0
leaky_relu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
leaky_relu_0.2_ours_adam,0.0,0.0,0.0,6.0,78.0
leaky_relu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
leaky_relu_0.3_ghada_adam,0.0,2.0,21.0,49.0,92.0
leaky_relu_0.3_ghada_sgd,0.0,3.0,23.0,19.0,9.0
leaky_relu_0.3_ours_adam,0.0,2.0,20.0,55.0,90.0
leaky_relu_0.3_ours_sgd,0.0,3.0,23.0,20.0,32.0
relu_0.2_ghada_adam,0.0,0.0,3.0,12.0,74.0
relu_0.2_ghada_sgd,0.0,0.0,8.0,3.0,19.0
relu_0.2_ours_adam,0.0,0.0,3.0,12.0,74.0
relu_0.2_ours_sgd,0.0,0.0,8.0,3.0,19.0
relu_0.3_ghada_adam,0.0,1.0,43.0,37.0,101.0
relu_0.3_ghada_sgd,0.0,43.0,18.0,27.0,55.0
relu_0.3_ours_adam,0.0,1.0,26.0,15.0,106.0
relu_0.3_ours_sgd,0.0,43.0,19.0,28.0,61.0
silu_0.2_ghada_adam,0.0,3.0,29.0,10.0,49.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,3.0,29.0,10.0,49.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,48.0,49.0,60.0,57.0
silu_0.3_ghada_sgd,0.0,0.0,6.0,3.0,24.0
silu_0.3_ours_adam,0.0,48.0,49.0,58.0,71.0
silu_0.3_ours_sgd,0.0,0.0,6.0,4.0,26.0
