model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.1_method1_adam,96.9,42.5,31.7,24.6,19.36,43.01
relu_0.1_method1_sgd,97.25,43.48,31.35,24.5,19.37,43.19
relu_0.1_method2_adam,96.9,42.5,31.7,24.6,19.51,43.04
relu_0.1_method2_sgd,97.25,43.48,31.35,24.5,19.37,43.19
relu_0.2_method1_adam,96.9,42.5,31.73,24.62,19.52,43.05
relu_0.2_method1_sgd,97.25,43.22,31.32,24.52,19.47,43.16
relu_0.2_method2_adam,96.9,42.5,31.7,24.51,19.5,43.02
relu_0.2_method2_sgd,97.25,43.22,31.32,24.4,19.57,43.15
relu_0.3_method1_adam,96.9,44.32,31.57,24.34,19.36,43.3
relu_0.3_method1_sgd,97.25,44.02,31.12,24.35,19.38,43.22
relu_0.3_method2_adam,96.9,42.18,31.58,24.48,19.48,42.92
relu_0.3_method2_sgd,97.25,42.42,31.08,22.94,17.98,42.33
