model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,200.0,345.0,316.0
relu_0.1_method1_sgd,0.0,0.0,0.0,0.0,24.0
relu_0.1_method2_adam,0.0,1.0,200.0,345.0,354.0
relu_0.1_method2_sgd,0.0,0.0,0.0,0.0,24.0
relu_0.2_method1_adam,0.0,24.0,287.0,397.0,444.0
relu_0.2_method1_sgd,0.0,259.0,221.0,214.0,242.0
relu_0.2_method2_adam,0.0,24.0,291.0,340.0,450.0
relu_0.2_method2_sgd,0.0,259.0,221.0,217.0,177.0
relu_0.3_method1_adam,7.0,243.0,319.0,429.0,467.0
relu_0.3_method1_sgd,350.0,484.0,459.0,328.0,384.0
relu_0.3_method2_adam,7.0,152.0,342.0,402.0,458.0
relu_0.3_method2_sgd,350.0,472.0,463.0,369.0,429.0
